date,company,cik,ticker,industry
2024-10-31,"Finch Therapeutics Group, Inc.",1733257,FNCH,"Biological Products, (No Diagnostic Substances)"
2024-10-21,TELLURIAN INC. /DE/,61398,TELZ,Crude Petroleum & Natural Gas
2024-10-11,"Guardion Health Sciences, Inc.",1642375,GHSI,Pharmaceutical Preparations
2024-10-11,Investment Managers Series Trust II,1587982,,
2024-10-07,ORANGE,1038143,FNCTF,Telephone Communications (No Radiotelephone)
2024-10-07,Renalytix plc,1811115,RNLXY,Services-Medical Laboratories
2024-10-04,"Generations Bancorp NY, Inc.",1823365,GBNY,"Savings Institution, Federally Chartered"
2024-09-26,Dynamic Shares Trust,1771951,WEIX,Commodity Contracts Brokers & Dealers
2024-09-23,BlackRock Inc.,1364742,,
2024-09-20,Telesis Bio Inc.,1850079,TBIO,Laboratory Analytical Instruments
2024-09-13,Calliditas Therapeutics AB,1795579,,
2024-09-06,Altisource Asset Management Corp,1555074,AAMCF,Real Estate
2024-09-03,ETF Opportunities Trust,1771146,,
2024-08-30,Currenc Group Inc.,1862935,CURR,"Services-Business Services, NEC"
2024-08-23,Learn CW Investment Corp,1847577,,
2024-08-23,"Benson Hill, Inc.",1830210,BHIL,Food and Kindred Products
2024-08-16,CAMPBELL SOUP CO,16732,CPB,Food and Kindred Products
2024-08-16,Grindrod Shipping Holdings Ltd.,1725293,,
2024-08-12,ETF Series Solutions,1540305,,
2024-08-12,Allego N.V.,1874474,ALLGF,"Services-Automotive Repair, Services & Parking"
2024-08-05,"COVENANT LOGISTICS GROUP, INC.",928658,CVLG,Trucking (No Local)
2024-08-05,UNITED COMMUNITY BANKS INC,857855,UCB,State Commercial Banks
2024-08-05,"Vintage Wine Estates, Inc.",1834045,VWESQ,Beverages
2024-07-25,MorphoSys AG,1340243,MPSYF,Pharmaceutical Preparations
2024-07-22,Ameris Bancorp,351569,ABCB,State Commercial Banks
2024-07-22,"TC Bancshares, Inc.",1850398,TCBC,"Savings Institution, Federally Chartered"
2024-07-18,"Cullman Bancorp, Inc. /MD/",1845799,CULL,"Savings Institutions, Not Federally Chartered"
2024-07-15,Monterey Capital Acquisition Corp,1895249,CNTM,Construction - Special Trade Contractors
2024-07-11,PARTNERRE LTD,911421,PREJF,Accident & Health Insurance
2024-06-21,FEDERAL HOME LOAN MORTGAGE CORP,1026214,FMCC,Federal & Federally-Sponsored Credit Agencies
2024-06-21,Feutune Light Acquisition Corp,1912582,AIEV,Motor Vehicles & Passenger Car Bodies
2024-06-20,Tidal ETF Trust,1742912,,
2024-06-20,Tidal ETF Trust,1742912,,
2024-06-07,SIFY TECHNOLOGIES LTD,1094324,SIFY,"Services-Computer Programming, Data Processing, Etc."
2024-06-06,"BETTERWARE DE MEXICO, S.A.P.I. DE C.V",1788257,BWMX,Retail-Catalog & Mail-Order Houses
2024-06-03,Concord Acquisition Corp II,1851959,CNDA,Blank Checks
2024-06-03,"M.D.C. HOLDINGS, INC.",773141,,
2024-05-31,"American Oncology Network, Inc.",1839998,AONC,Services-Health Services
2024-05-29,TCW ETF Trust,1831313,,
2024-05-29,TCW ETF Trust,1831313,,
2024-05-29,FIRST BANCSHARES INC /MS/,947559,FBMS,National Commercial Banks
2024-05-17,KFORCE INC,930420,KFRC,Services-Help Supply Services
2024-05-10,MERRIMACK PHARMACEUTICALS INC,1274792,,
2024-05-06,Clever Leaves Holdings Inc.,1819615,CLVR,Pharmaceutical Preparations
2024-04-29,"Vaxxinity, Inc.",1851657,VAXX,Pharmaceutical Preparations
2024-04-25,Roth CH Acquisition Co.,1860514,USCTF,Blank Checks
2024-04-23,TOP SHIPS INC.,1296484,TOPS,Deep Sea Foreign Transportation of  Freight
2024-04-22,PECO ENERGY CAPITAL LP,925910,,
2024-04-19,VIA optronics AG,1769116,,
2024-04-18,MERRILL LYNCH DEPOSITOR INC INDEXPLUS TRUST SERIES 2003-1,1267332,IPB,Asset-Backed Securities
2024-04-15,"Semantix, Inc.",1896049,,
2024-04-08,BRAZILIAN DISTRIBUTION CO COMPANHIA BRASILEIRA DE DISTR CBD,1038572,CBDBY,Retail-Grocery Stores
2024-04-04,Revelstone Capital Acquisition Corp.,1874218,,
2024-04-04,"Ampio Pharmaceuticals, Inc.",1411906,AMPE,Pharmaceutical Preparations
2024-04-01,Movella Holdings Inc.,1839132,MVLA,Services-Prepackaged Software
