Symbol,Description,Price,Price - Currency,Industry,Market capitalization,Market capitalization - Currency,Enterprise value,Enterprise value - Currency,Price to sales ratio,"Total revenue, Annual","Total revenue, Annual - Currency","EBITDA, Trailing 12 months","EBITDA, Trailing 12 months - Currency","Revenue per employee, Annual","Revenue per employee, Annual - Currency"
AMGN,Amgen Inc.,317.17,USD,Biotechnology,170424715766.02844,USD,223666623210,USD,5.579326522644458,28010000000,USD,11570000000,USD,1049063.67041199,USD
GILD,"Gilead Sciences, Inc.",88.76,USD,Biotechnology,110505495727.29753,USD,129872293823,USD,4.008316232854526,27058000000,USD,12877000000,USD,1503222.22222222,USD
CSLLY,CSL Ltd.,96.41,USD,Biotechnology,93899037623.26471,USD,106463037623.26471,USD,6.4508679344443385,14690000000,USD,4632880060,USD,459062.5,USD
CMXHF,CSL Ltd.,190.25,USD,Biotechnology,92120301371.33456,USD,106439521863.76984,USD,6.283493140366854,14943590395.905228,USD,4726052620.806,USD,466987.19987203844,USD
LZAGY,Lonza Group AG,63.56,USD,Biotechnology,46207489450.9656,USD,48256231939.28075,USD,5.831280802220314,7474530587.32602,USD,2325578580,USD,415251.69929589,USD
LZAGF,Lonza Group AG,628.91,USD,Biotechnology,45306994651.9791,USD,48255233750.9656,USD,5.566657431753978,7978049580,USD,2295787200,USD,443224.97666666703,USD
ILMN,"Illumina, Inc.",144.03,USD,Biotechnology,22943978946.223392,USD,24539634947,USD,5.095969744863397,4504000000,USD,920000000,USD,375020.815986678,USD
BNTX,BioNTech SE,113.26,USD,Biotechnology,26263940001,USD,15415579326,USD,9.03581638732128,4128780487.81037,USD,-359280380,USD,1339643.2471805199,USD
SMMT,Summit Therapeutics Inc.,22.24,USD,Biotechnology,16113719059.966131,USD,15186588086.997831,USD,,0,USD,-143277000,USD,0,USD
MRNA,"Moderna, Inc.",54.8,USD,Biotechnology,21064902318.380108,USD,13188585111,USD,4.04334787782627,6840000000,USD,-4115000000,USD,1221428.57142857,USD
BMRN,BioMarin Pharmaceutical Inc.,70.13,USD,Biotechnology,13351548353.77126,USD,13150686219,USD,5.397153827535379,2419412000,USD,365894000,USD,711382.5345486619,USD
PCVX,"Vaxcyte, Inc.",112.8,USD,Biotechnology,13739473520.942093,USD,12329410059,USD,,0,USD,-490158000,USD,0,USD
ELAN,Elanco Animal Health Incorporated,12.51,USD,Biotechnology,6184006590.7203865,USD,11394574084,USD,1.3653210151380226,4417000000,USD,972000000,USD,450714.28571428603,USD
TECH,Bio-Techne Corp,70.38,USD,Biotechnology,11165469815.539602,USD,11162447477,USD,9.519369315970971,1159060000,USD,359977000,USD,373890.322580645,USD
WXXWY,Wuxi Biologics (Cayman) Inc,4.48,USD,Biotechnology,9322294977.89856,USD,9186270315.255163,USD,3.98005303727722,2404260584.33564,USD,685151700,USD,188717.471297931,USD
CHJTF,CSPC Pharmaceuticals Group Ltd.,0.8255,USD,Biotechnology,9639100723.87191,USD,8147930381.217935,USD,2.579882444715269,4449337923.838329,USD,1166147435.4418,USD,189333.52867397157,USD
