Symbol,Description,Industry,Sector,Exchange,Index,Market capitalization,Market capitalization - Currency,Price,Price - Currency,Pre-market Open,Pre-market Open - Currency,Pre-market Change,Pre-market Change - Currency,Pre-market Change %,Pre-market Gap %,Float shares outstanding,Volume 1 day,Volume 1 week,Pre-market Volume,Average Volume 10 days,Average Volume 30 days,Average Volume 90 days,Volatility 1 day,Volatility 1 week,Volatility 1 month,Volume Weighted Average Price 1 day,Price to earnings ratio,Relative Volume at Time,Relative Volume 1 day,Beta 1 year,Beta 3 years,Beta 5 years,Relative Volume 1 minute,Relative Volume 5 minutes,Relative Volume 15 minutes,Relative Volume 30 minutes,Relative Volume 1 hour,Relative Volume 2 hours,Relative Volume 4 hours,Relative Volume 1 week,Relative Volume 1 month,High 1 month,High 1 month - Currency,High 3 months,High 3 months - Currency,High 6 months,High 6 months - Currency,High 52 weeks,High 52 weeks - Currency,High All Time,High All Time - Currency,High 5 minutes,High 5 minutes - Currency,High 15 minutes,High 15 minutes - Currency,High 30 minutes,High 30 minutes - Currency,High 1 hour,High 1 hour - Currency,High 2 hours,High 2 hours - Currency,High 4 hours,High 4 hours - Currency,High 1 day,High 1 day - Currency,High 1 week,High 1 week - Currency,High 1 month.1,High 1 month - Currency.1,"Revenue per employee, Annual","Revenue per employee, Annual - Currency",Simple Moving Average (5) 1 minute,Simple Moving Average (8) 1 minute,Simple Moving Average (5) 5 minutes,Simple Moving Average (13) 5 minutes,"Bollinger Bands (20) 1 minute, Upper","Bollinger Bands (20) 1 minute, Basis","Bollinger Bands (20) 1 minute, Lower","Bollinger Bands (20) 5 minutes, Upper","Bollinger Bands (20) 5 minutes, Basis","Bollinger Bands (20) 5 minutes, Lower",International Securities Identification Number,Relative Volume 1 day.1,Recent earnings date,Upcoming earnings date,Analyst Rating,Target price 1 year,Target price 1 year - Currency,Technical Rating 5 minutes,marketCapType,pre_market_change_pct_threshold,float_shares_outstanding_threshold,pre_market_gap_percentage_threshold,pre_market_vwap_drawdown_threshold,PM_Volume_Ratio,Volume_Acceleration
GOOGL,Alphabet Inc.,Internet software/Services,Technology services,NASDAQ,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Communication Services, S&P 100, ISE CTA Cloud Computing, Nasdaq US Large Cap Growth, Russell 3000, NASDAQ-100 Technology Sector, Russell 1000, NASDAQ Computer, S&P 500 ESG",2061370887756.0,USD,166.72,USD,167.4,USD,0.7800000000000011,USD,0.4678502879078701,0.407869481765839,5844786066.0,32138631,32138641.0,220552,20803856.100000016,21788567.900000013,24345093.744444445,2.927721866422697,1.962758821144233,1.8419870389259736,166.47333333333333,23.914509072652944,1.972456651684452,1.6488445942458985,1.1431599,1.0155311,1.0383973,3.804374618015817,4.592509528067751,4.119823813048551,1.8035675340769308,1.040678235135591,0.6747488330301824,0.9561879276967284,0.2925888181559244,0.713586348362989,169.16,USD,174.245,USD,191.75,USD,191.75,USD,191.75,USD,167.11,USD,167.15,USD,167.15,USD,167.15,USD,167.15,USD,167.355,USD,168.75,USD,168.75,USD,169.16,USD,1683033.61059057,USD,166.74600000000052,166.858750000001,166.9729800000002,166.97675384615425,167.24339120151183,166.96674999999988,166.69010879848793,167.2742429438911,166.98946499999963,166.7046870561082,US02079K3059,1.6488445942458985,2024-07-23,2024-10-29,Buy,202.105263,USD,Sell,Titans,0.002,1000000000.0,0.001,0.003,0.010601496133209641,1.114734448964075
GOOG,Alphabet Inc.,Internet software/Services,Technology services,NASDAQ,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Communication Services, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, NASDAQ-100 Technology Sector, Russell 1000, NASDAQ Computer, S&P 500 ESG",2061370887756.0,USD,168.34,USD,169.5,USD,0.7599999999999909,USD,0.4514672686230194,0.689081620529878,5189531735.0,20857604,20858254.0,158146,13728774.199999953,15234660.866666714,17221972.777777795,2.904879667048678,1.9487922072139163,1.8095796851056396,168.24533333333332,24.146883740945277,1.98289021896054,1.6499715220646651,1.1241996,1.012835,1.0443572,4.228577718136326,7.484857107687586,5.34646373390995,2.3755074385149997,1.2457686343120764,0.8417213008396675,1.0793181232943774,0.26416922549994,0.634879539558271,170.606,USD,175.91,USD,193.31,USD,193.31,USD,193.31,USD,168.73,USD,168.8,USD,168.8,USD,168.8,USD,168.8,USD,169.03,USD,170.606,USD,170.606,USD,170.606,USD,1683033.61059057,USD,168.3469999999998,168.47749999999908,168.60624259999946,168.64080869230762,168.91805862635223,168.60279499999982,168.2875313736474,168.95125874076444,168.65162565000034,168.35199255923624,US02079K1079,1.6499715220646651,2024-07-23,2024-10-29,Buy,201.928571,USD,Sell,Titans,0.002,1000000000.0,0.001,0.003,0.011519309568074952,1.3999640660077566
META,"Meta Platforms, Inc.",Internet software/Services,Technology services,NASDAQ,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Communication Services, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, NASDAQ-100 Technology Sector, Russell 1000, NASDAQ Computer",1462638765604.0,USD,578.16,USD,580.01,USD,2.050000000000068,USD,0.3545731285457431,0.3199806281998102,2180983188.05,10923197,10925131.0,49211,9763803.0,11262829.8,13074016.066666666,1.8288685292273437,2.1312551290902144,1.8553209904796009,578.6766333333334,29.518290659382735,1.0237953115125331,1.150212130967364,0.9310344,1.1238816,1.2159411,6.272506853395777,6.9989512960270766,3.380677306367361,2.0828936972886227,0.9461456540156328,0.5191179081343502,0.6946766209510583,0.204039844482826,0.6095692818398053,602.95,USD,602.95,USD,602.95,USD,602.95,USD,602.95,USD,579.22,USD,579.4712,USD,580.0699,USD,580.0699,USD,580.0699,USD,580.75,USD,583.7499,USD,583.7499,USD,602.95,USD,2003981.16374764,USD,578.1020000000028,578.4643750000001,578.7249800000006,579.4217923076932,579.5154273329331,578.7191400000019,577.9228526670706,580.6981639099681,579.470909999999,578.2436560900298,US30303M1027,1.150212130967364,2024-07-31,2024-10-30,Strong buy,613.132712,USD,Sell,Titans,0.002,1000000000.0,0.001,0.003,0.005040146754292359,2.0702807933915643
LLY,Eli Lilly and Company,Pharmaceuticals: major,Health technology,NYSE,"S&P 500, S&P 500 Health Care, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000, S&P 500 ESG",851191796291.0,USD,895.59,USD,896.28,USD,1.4099999999999682,USD,0.157438113422433,0.0770441831641645,851714755.64,2083980,2084102.0,2878,2014769.9,2477921.7666666666,2967785.722222222,0.8340892251734408,1.2959034570666257,1.6210134426952272,894.8599666666668,111.87183811129847,0.9211432579008436,1.0624905425198112,0.75035876,0.50594324,0.41677448,7.900990613868594,6.111868406281859,5.051296249058999,3.3719086873811035,1.2764363960205432,0.6819729570629569,0.6798407701397412,0.1694537489929012,0.6463038199279839,937.0,USD,972.53,USD,972.53,USD,972.53,USD,972.53,USD,896.58,USD,897.18,USD,897.18,USD,897.18,USD,897.18,USD,898.2099,USD,898.2099,USD,898.2099,USD,937.0,USD,793583.720930233,USD,895.8939999999977,896.1231249999976,896.5479999999991,895.9494076923064,897.2643899172535,896.3977500000013,895.5311100827491,897.6449098104497,896.2641150000021,894.8833201895545,US5324571083,1.0624905425198112,2024-08-08,2024-10-30,Buy,1020.5476,USD,Sell,Titans,0.002,1000000000.0,0.001,0.003,0.0014284509610750092,1.2099603952986193
TSLA,"Tesla, Inc.",Motor vehicles,Consumer durables,NASDAQ,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Consumer Discretionary, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000, NASDAQ Industrials, S&P 500 ESG",842672833240.0,USD,262.51,USD,262.0,USD,0.8899999999999864,USD,0.3390347034398637,-0.1942783132071124,2793362111.3999996,107653494,107653603.0,887723,85830165.90000024,83888472.79999998,92654823.82222232,4.307504575960949,4.474530629042392,3.529069693218914,266.0953333333334,71.9126671049748,1.3151227766780182,1.286274794857236,1.6455977,1.8621664,2.2967186,3.3215096539521056,1.736951972205352,1.7854094744351765,1.4346367465079657,0.5700106529322744,0.2389239534597047,0.5832463945666168,0.2755266581322309,0.8425907792345457,273.536,USD,273.536,USD,273.536,USD,273.536,USD,414.49625277,USD,263.5,USD,263.55,USD,264.8,USD,264.8,USD,264.8,USD,269.75,USD,273.536,USD,273.536,USD,273.536,USD,688908.188762253,USD,263.0240000000002,263.1721373750005,263.32039979999996,264.0879999230767,263.89431535114454,263.27563995000025,262.65696454885597,267.91365385582765,265.0076049499996,262.1015560441715,US88160R1014,1.286274794857236,2024-10-23,2025-01-22,Neutral,227.427273,USD,Sell,Titans,0.002,1000000000.0,0.001,0.003,0.010342785554373459,0.9728591659651888
AVGO,Broadcom Inc.,Semiconductors,Electronic technology,NASDAQ,"S&P 500, NASDAQ 100, NASDAQ Composite, PHLX Semiconductor Sector, S&P 500 Information Technology, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, NASDAQ-100 Technology Sector, Russell 1000, NASDAQ Computer",803432533041.0,USD,172.02,USD,171.77,USD,0.2699999999999818,USD,0.1569584931984547,-0.1453319381467271,4576337036.76,13195754,13195829.0,24275,18494029.0,22839843.9,30072887.844444446,1.533630978435325,2.457727540259173,2.815347564377263,172.44593333333333,149.73885793871867,0.7185072159571716,0.6984084289878563,3.2620373,1.3545924,1.1841127,7.067130625887093,7.925352708080688,5.083894582268091,3.2384709716101243,1.2796795974681423,0.6042486401498995,0.6657610210373686,0.1047849484396939,0.5440599803402669,186.42,USD,186.42,USD,186.42,USD,186.42,USD,186.42,USD,172.32,USD,172.55,USD,172.7,USD,172.7,USD,172.7,USD,172.7,USD,173.9728,USD,173.9728,USD,186.42,USD,1790950.0,USD,171.96819999999985,172.07637500000024,172.31596,172.06403846153896,172.70987868562955,172.2882871500007,171.86669561437188,172.5787878651557,172.03883000000013,171.49887213484456,US11135F1012,0.6984084289878563,2024-09-05,2024-12-05,Strong buy,195.092857,USD,Sell,Titans,0.002,1000000000.0,0.001,0.003,0.0013125858081005496,1.5589136595639104
V,Visa Inc.,Miscellaneous commercial services,Commercial services,NYSE,"S&P 500, Dow Jones Industrial Average, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, S&P 500 Financials, Dow Jones Composite Average, Russell 1000, S&P 500 ESG",561532987400.0,USD,284.19,USD,284.81,USD,0.0985000000000013,USD,0.0346599106231751,0.2181639044301364,1666081773.25,4306203,4306240.0,7206,6016620.8,6891310.733333333,7996316.511111111,1.1046780094483764,1.0518307894431853,1.1870016213275167,283.4533333333333,30.87276756615826,0.7344387705077662,0.719419613117178,0.5914838,0.85292256,0.96153873,5.752174792636051,7.752674248754569,5.659832387297403,3.8701798108456855,1.562928402947788,0.8879762905043145,0.7758848683400428,0.1336358868215658,0.7025411798570034,291.04,USD,293.07,USD,293.07,USD,293.07,USD,293.07,USD,284.4,USD,284.42,USD,284.42,USD,284.42,USD,284.42,USD,284.64,USD,284.64,USD,284.64,USD,291.04,USD,1133784.72222222,USD,284.2360000000005,284.2193749999997,284.25499999999874,284.2822999999989,284.32025425667626,284.23225000000036,284.14424574332446,284.5366536808033,284.3307449999993,284.1248363191953,US92826C8394,0.719419613117178,2024-07-23,2024-10-29,Buy,310.081212,USD,Buy,Titans,0.002,1000000000.0,0.001,0.003,0.0011976822604475921,1.3697709964263638
SAP,SAP SE,Packaged software,Technology services,NYSE,ISE CTA Cloud Computing,281050933071.1015,USD,240.28,USD,242.25,USD,0.2199999999999988,USD,0.0915598468453466,0.8198768103878804,1149789600.20925,874605,874605.0,4172,1098042.3,851261.4333333333,828535.1,1.3765486171943484,1.3164644888325483,1.232872214798769,240.33333333333337,96.5833266339738,0.6665306987052251,0.8109603455083011,1.1577803,1.3184388,1.2542804,2.00462889905844,5.833857552247151,6.835521273702687,3.1730198930666496,1.4208474448125652,0.5420725258307632,0.3641628843112406,0.2112142331594259,1.1365716880507548,240.99,USD,240.99,USD,240.99,USD,240.99,USD,240.99,USD,240.52,USD,240.52,USD,240.57,USD,240.57,USD,240.57,USD,240.99,USD,240.99,USD,240.99,USD,240.99,USD,313547.83946804,USD,240.3519999999996,240.309375,240.34299999999948,240.53863846153752,240.5366852878646,240.33149999999895,240.1263147121333,241.13648407238531,240.66286499999984,240.18924592761437,US8030542042,0.8109603455083011,2024-10-21,2025-01-23,Buy,272.0,USD,Neutral,Titans,0.002,1000000000.0,0.001,0.003,0.003799489327505871,0.8534619846317951
AMD,"Advanced Micro Devices, Inc.",Semiconductors,Electronic technology,NASDAQ,"S&P 500, NASDAQ 100, NASDAQ Composite, PHLX Semiconductor Sector, S&P 500 Information Technology, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, NASDAQ-100 Technology Sector, Russell 1000, NASDAQ Computer, S&P 500 ESG",258827627857.0,USD,159.92,USD,161.99,USD,1.440000000000026,USD,0.9004502251125727,1.2943971985993132,1609055590.96,36005350,36010134.0,496961,31017152.5,33672406.96666667,44198101.42222222,2.578878665350703,2.3072689664330563,2.923172991989204,159.08166666666668,192.69791541149536,0.9732136662553672,1.1769401214121,2.7597983,1.9681442,1.694776,3.283829709562323,3.4191293128999076,2.5909458912181536,1.739861966374351,0.7650073798412922,0.4292920750357411,0.6350520865731429,0.2031484873433471,0.5636174744620732,174.05,USD,174.05,USD,187.28,USD,227.3,USD,227.3,USD,159.97,USD,159.97,USD,159.97,USD,159.97,USD,159.97,USD,159.97,USD,160.28,USD,160.28,USD,174.05,USD,872307.692307692,USD,159.8700000000002,159.82737499999985,159.59478000000033,159.24868461538475,160.03510317421728,159.63094499999983,159.22678682578243,159.84293568024287,159.24414499999943,158.645354319756,US0079031078,1.1769401214121,2024-07-30,2024-10-29,Strong buy,188.455106,USD,Buy,Titans,0.002,1000000000.0,0.001,0.003,0.016022134849419205,1.3196452015801754
BABA,Alibaba Group Holding Limited,Internet retail,Retail trade,NYSE,NASDAQ Golden Dragon China,238196847503.7364,USD,99.93,USD,100.18,USD,1.6499999999999917,USD,1.651155809066338,0.25017512258581,2392337968.58868,16040512,16044384.0,701112,17324362.2,26702467.933333337,17585046.922222223,3.67483296213808,2.1639382376542455,2.8409768553450494,99.92,26.1159314237926,0.9735958558263376,0.8983527743493701,0.8232997,0.43325302,0.34189028,3.196413488007487,6.223095280513422,5.654122691800819,2.1146140490850307,0.9776653403982962,0.5669719921416504,0.5699414595724676,0.1517541201558057,1.347300749321921,117.82,USD,117.82,USD,117.82,USD,117.82,USD,319.32,USD,100.04,USD,100.12,USD,100.3,USD,100.3,USD,100.3,USD,100.51,USD,101.05,USD,101.05,USD,117.82,USD,640550.8947263911,USD,99.95399999999992,99.92937500000028,100.01591999999988,100.17642307692287,100.20188393815933,100.00700999999977,99.81213606184022,100.45216405092542,100.1946750000002,99.93718594907496,US01609W1027,0.8983527743493701,2024-08-15,2024-11-14,Strong buy,118.6104564686,USD,Neutral,Titans,0.002,1000000000.0,0.001,0.003,0.040469714954354856,1.1006296855810511
