Symbol,Description,marketCapType,marketCapType,Pre-market Change %,Pre-market Gap %,Market capitalization,Price,Pre-market Open,Relative Volume 5 minutes,Industry,yahooPrice,RSI,MA5,MA20,MA50,MACD,Volume,Date
SMLR,"Semler Scientific, Inc.",Small caps,Small caps,27.34941791800236,11.725999662561152,430670168.0,59.27,66.22,1.5023350836378218,Medical specialties,66.43000030517578,79.70334737030677,52.74599990844727,41.42249994277954,31.70799991607666,7.454643939669388,3289100,2024-11-21 00:00:00-05:00
MARA,"MARA Holdings, Inc.",Mid caps,Mid caps,11.533362792752982,8.351745470614231,7283046857.0,22.63,24.52,2.085262512538293,Data processing services,24.18000030517578,62.423139861401026,21.170000076293945,19.71500015258789,17.83219995498657,1.2992047587169857,165681000,2024-11-21 00:00:00-05:00
SRAD,Sportradar Group AG,Mid caps,Mid caps,4.144041154615592,2.02915118605316,5216331753.000001,17.495,17.85,7.940331252703789,Packaged software,17.4950008392334,82.49438196248813,17.3060001373291,14.858249998092651,13.275800018310546,1.3874409160430936,881100,2024-11-21 00:00:00-05:00
BJ,"BJ's Wholesale Club Holdings, Inc.",Large caps,Large caps,3.722287047841304,0.6301050175029079,11362581747.0,85.7,86.24,8.616590319882608,Specialty stores,92.79000091552734,68.48354596535053,87.77999877929688,87.33950080871583,85.53020034790039,0.8386210415863786,5782200,2024-11-21 00:00:00-05:00
LMND,"Lemonade, Inc.",Mid caps,Mid caps,2.4044654358093704,0.66552168312581,3326023650.9999995,46.58,46.89,4.081135033250818,Property/Casualty insurance,50.36000061035156,88.47184638339465,40.93800048828125,29.519500160217284,22.359400062561036,6.361985860003806,9905700,2024-11-21 00:00:00-05:00
KD,"Kyndryl Holdings, Inc.",Mid caps,Mid caps,2.173151069050114,1.121626358219419,6626689937.0,28.53,28.85,5.693665628245068,Data processing services,32.4900016784668,84.12462963423978,29.008000564575195,26.265499973297118,24.78400001525879,1.5300849416128202,6790900,2024-11-21 00:00:00-05:00
GAP,"Gap, Inc. (The)",Mid caps,Mid caps,2.133850630455857,0.8729388942773992,7759654681.0,20.62,20.8,6.107218791369827,Apparel/Footwear retail,22.040000915527344,54.471205407571745,21.308000564575195,21.56800022125244,21.26416477203369,0.0018282358855650216,19902000,2024-11-21 00:00:00-05:00
RRC,Range Resources Corporation,Mid caps,Mid caps,2.034698521046651,1.6780432309442646,8484447138.0,35.16,35.75,8.418741776373654,Oil & gas production,35.56999969482422,72.36426753684502,34.55199966430664,32.671999835968016,31.47880012512207,1.1106088330444805,3594000,2024-11-21 00:00:00-05:00
CORZ,"Core Scientific, Inc.",Mid caps,Mid caps,1.9698725376593271,1.6222479721900207,4819907211.0,17.26,17.54,7.490251579166499,Data processing services,17.549999237060547,68.00692868932545,16.54199981689453,15.207499742507935,13.52499994277954,1.0740781571103568,10506500,2024-11-21 00:00:00-05:00
ZI,ZoomInfo Technologies Inc.,Mid caps,Mid caps,1.6949152542373025,0.0,3646576020.999999,10.62,10.62,7.185902480291019,Packaged software,10.369999885559082,46.182664596461,10.165999794006348,11.036999893188476,10.55339994430542,-0.045314435297173716,17097500,2024-11-21 00:00:00-05:00
CRK,"Comstock Resources, Inc.",Mid caps,Mid caps,1.6666666666666667,1.6000000000000014,4383909760.0,15.0,15.24,4.339627036172028,Oil & gas production,15.229999542236328,74.4569149124362,14.305999946594238,13.020999956130982,11.962799968719482,0.8066238066054154,3888200,2024-11-21 00:00:00-05:00
GERN,Geron Corporation,Mid caps,Mid caps,1.5037593984962307,0.0,2411958902.0,3.99,3.99,5.57142362462841,Biotechnology,4.019999980926514,48.44468512073699,3.848000001907349,4.054999995231628,4.217800011634827,-0.09529864661766085,6806700,2024-11-21 00:00:00-05:00
QS,QuantumScape Corporation,Mid caps,Mid caps,1.3806706114398302,0.5917159763313483,2598229255.0,5.07,5.1,4.549793799535355,Electrical products,5.039999961853027,46.49966438217445,4.905999946594238,5.120499992370606,5.428799991607666,-0.15391511294439386,7907000,2024-11-21 00:00:00-05:00
IMVT,"Immunovant, Inc.",Mid caps,Mid caps,1.37562094000764,1.37562094000764,3841353973.0,26.17,26.53,6.78749883253946,Biotechnology,26.540000915527344,38.690844970309584,26.013999938964844,28.902499866485595,29.137000007629396,-0.9434823105929944,645600,2024-11-21 00:00:00-05:00
