Symbol,Description,marketCapType,Pre-market Change %,Pre-market Gap %,Market capitalization,Price,Pre-market Open,Industry,Index,Sector,Exchange,Recent earnings date,Upcoming earnings date,Float shares outstanding,Average Volume 10 days,Average Volume 30 days,Average Volume 90 days,Relative Volume 1 day,Relative Volume 5 minutes,Relative Volume 30 minutes,Relative Volume at Time,Analyst Rating,Technical Rating 5 minutes
NARI,"Inari Medical, Inc.",Mid caps,21.461538461538467,21.53846153846154,3805370082.999999,65.0,79.0,Medical specialties,"NASDAQ Composite, Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Health technology,NASDAQ,2024-10-28,2025-03-04,50287535.8414,2054744.7,1412964.8666666667,1056938.3777777778,15.530630945866706,1.843960885169313,19.88969978133409,18.028315235114334,Buy,Buy
ENOV,Enovis Corporation,Mid caps,4.983164983164997,2.2222222222222268,2489251601.0,44.55,45.54,Medical specialties,"S&P MidCap 400, Russell 3000, Russell 1000",Health technology,NYSE,2024-11-06,2025-02-20,55172530.3345,646479.7,600450.2666666667,639533.9555555555,1.451355822030698,10.03388047652829,5.490133342197882,1.210115409233501,Strong buy,Neutral
WGS,GeneDx Holdings Corp.,Mid caps,4.452628054904581,5.613212811070194,2461711938.0,89.61,94.64,Medical/Nursing services,"NASDAQ Composite, Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Health services,NASDAQ,2024-10-29,2025-03-18,21972504.8048,519104.5,533906.6999999998,572678.8888888889,2.872667587562169,7.5561839559458255,2.9557335874755535,3.286715032994549,Buy,Strong buy
GDS,GDS Holdings Limited,Mid caps,4.1732283464567015,2.125984251968515,4654929723.346741,25.4,25.94,Data processing services,"NASDAQ Composite, NASDAQ Golden Dragon China, NASDAQ Computer",Technology services,NASDAQ,2024-11-19,2025-03-12,184944737.03875,972677.2,958671.8666666668,1429552.0,2.0822121122350628,3.8878366278669327,1.8588440092313412,2.247889657351284,Strong buy,Buy
GH,"Guardant Health, Inc.",Mid caps,4.0802675585284245,3.037904124860636,4433139582.0,35.88,36.97,Medical/Nursing services,"NASDAQ Composite, Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, NASDAQ Biotechnology, Mini-Russell 2000",Health services,NASDAQ,2024-11-06,2025-02-20,117852442.53,1737541.2,1640967.6666666667,1942859.5444444444,2.278134079491025,7.662081568179393,2.5237669306681343,2.759596286128134,Strong buy,Strong buy
TBBB,BBB Foods Inc.,Mid caps,3.939093015557755,3.939093015557755,3389584550.0,30.21,31.4,Food retail,,Retail trade,NYSE,2024-11-25,2025-04-24,38709680.0,742569.2,840251.5,720067.7222222222,1.0991356491873308,5.291800930898675,13.979942184094076,1.6554418046408197,Buy,Strong buy
VSTS,Vestis Corporation,Mid caps,3.032178217821772,0.5569306930693061,2127380537.0,16.16,16.25,Apparel/Footwear,"Russell 3000, Russell 1000",Consumer non-durables,NYSE,2024-11-21,2025-02-05,130386780.89232,3246020.8,2555038.966666667,2193684.488888889,0.9231273470748584,7.864052755445554,6.176391240313278,1.148310990999759,Neutral,Neutral
BEAM,Beam Therapeutics Inc.,Mid caps,2.9590288315629785,0.4552352048558459,2182756350.0,26.36,26.48,Biotechnology,"NASDAQ Composite, Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, NASDAQ Biotechnology, Mini-Russell 2000",Health technology,NASDAQ,2024-11-05,2025-03-04,72658601.776,1024118.3,1089456.6666666667,1009507.6222222224,1.2218130148052166,7.754364962615021,4.059590050206691,1.2263674127601376,Buy,Sell
CAMT,Camtek Ltd.,Mid caps,2.8587570621468936,1.525423728813553,4014904603.999999,88.5,89.85,Electronic components,"NASDAQ Composite, NASDAQ Computer",Electronic technology,NASDAQ,2024-11-12,2025-02-13,27876667.9422,285704.9,477058.73333333334,549675.3111111111,1.5594007693788547,5.447966792785512,4.22306027820711,1.4999502831669316,Strong buy,Buy
TIMB,TIM S.A.,Mid caps,2.3608768971332306,1.2647554806070858,5760587468.720699,11.86,12.01,Wireless telecommunications,,Communications,NYSE,2024-11-03,2025-02-11,483531331.302726,359502.4,474421.5333333333,508917.6444444445,0.6253774199389864,6.005437588188733,2.9470991943390596,0.6165297818512444,Buy,Sell
LB,LandBridge Company LLC,Mid caps,2.333196889070806,2.8789739391458578,5788592588.000001,73.29,75.4,Miscellaneous commercial services,,Commercial services,NYSE,2024-11-06,2025-02-26,16769750.3,492525.2,522917.5333333333,422140.2,2.1348639630911888,3.5901850348836253,2.7929181841127897,2.563579597928937,Buy,Strong buy
RARE,Ultragenyx Pharmaceutical Inc.,Mid caps,2.2034692920768983,2.344116268166901,3939406492.999999,42.66,43.66,Pharmaceuticals: major,"NASDAQ Composite, Nasdaq US Small Cap Growth, Russell 3000, Russell 1000, NASDAQ Biotechnology",Health technology,NASDAQ,2024-11-05,2025-02-13,83358276.167,1024599.8,790835.4333333333,750132.3,2.005781933261274,3.9043968080112657,2.5980678922671236,1.7388806123270075,Strong buy,Strong buy
