Symbol,Description,Industry,Sector,Exchange,Index,Market capitalization,Market capitalization - Currency,Price,Price - Currency,Pre-market Open,Pre-market Open - Currency,Pre-market Change,Pre-market Change - Currency,Pre-market Change %,Pre-market Gap %,Float shares outstanding,Volume 1 day,Volume 1 week,Pre-market Volume,Average Volume 10 days,Average Volume 30 days,Average Volume 90 days,Volatility 1 day,Volatility 1 week,Volatility 1 month,Volume Weighted Average Price 1 day,Price to earnings ratio,Relative Volume at Time,Relative Volume 1 day,Beta 1 year,Beta 3 years,Beta 5 years,Relative Volume 1 minute,Relative Volume 5 minutes,Relative Volume 15 minutes,Relative Volume 30 minutes,Relative Volume 1 hour,Relative Volume 2 hours,Relative Volume 4 hours,Relative Volume 1 week,Relative Volume 1 month,High 1 month,High 1 month - Currency,High 3 months,High 3 months - Currency,High 6 months,High 6 months - Currency,High 52 weeks,High 52 weeks - Currency,High All Time,High All Time - Currency,High 5 minutes,High 5 minutes - Currency,High 15 minutes,High 15 minutes - Currency,High 30 minutes,High 30 minutes - Currency,High 1 hour,High 1 hour - Currency,High 2 hours,High 2 hours - Currency,High 4 hours,High 4 hours - Currency,High 1 day,High 1 day - Currency,High 1 week,High 1 week - Currency,High 1 month,High 1 month - Currency,"Revenue per employee, Annual","Revenue per employee, Annual - Currency",Simple Moving Average (5) 1 minute,Simple Moving Average (8) 1 minute,Simple Moving Average (5) 5 minutes,Simple Moving Average (13) 5 minutes,"Bollinger Bands (20) 1 minute, Upper","Bollinger Bands (20) 1 minute, Basis","Bollinger Bands (20) 1 minute, Lower","Bollinger Bands (20) 5 minutes, Upper","Bollinger Bands (20) 5 minutes, Basis","Bollinger Bands (20) 5 minutes, Lower",International Securities Identification Number,Relative Volume 1 day,Recent earnings date,Upcoming earnings date,Analyst Rating,Target price 1 year,Target price 1 year - Currency,Technical Rating 5 minutes
AAPL,Apple Inc.,Telecommunications equipment,Electronic technology,NASDAQ,"S&P 500, NASDAQ 100, Dow Jones Industrial Average, NASDAQ Composite, S&P 500 Information Technology, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, Dow Jones Composite Average, NASDAQ-100 Technology Sector, Russell 1000, NASDAQ Computer, S&P 500 ESG, NASDAQ CB Insights Metaverse US Index",3729829385010,USD,246.75,USD,246.6,USD,0.7199999999999989,USD,0.29179331306990836,-0.06079027355623331,15102558559.2,44647690,44649232,196239,45105307.899999306,44250677.666667186,48532986.38888868,2.2709410548086906,1.5642367430780335,1.38971331416633,245.24666666666667,40.65141106113775,1.1878277669928887,1.0042810882708337,0.9568174,1.221161,1.2278981,6.456559880434076,8.43955709404986,6.6683292828057565,2.6729084886715526,1.377816802338097,0.8077663824392909,0.7257084650879609,0.2140878440539165,0.2067758044485304,247.24,USD,247.24,USD,247.24,USD,247.24,USD,247.24,USD,247.01,USD,247.01,USD,247.09,USD,247.09,USD,247.09,USD,247.09,USD,247.24,USD,247.24,USD,247.24,USD,2384359.75609756,USD,246.63499999999968,246.57999999999956,246.6980489999999,246.58360346153844,246.9855002473763,246.66094725000025,246.3363942526242,246.94455498902326,246.45473179999976,245.96490861097627,US0378331005,1.0042810882708337,2024-10-31,2025-01-30,Buy,244.09381,USD,Strong buy
AMZN,"Amazon.com, Inc.",Internet retail,Retail trade,NASDAQ,"S&P 500, NASDAQ 100, Dow Jones Industrial Average, NASDAQ Composite, S&P 500 Consumer Discretionary, S&P 100, ISE CTA Cloud Computing, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000, NASDAQ Industrials, NASDAQ CB Insights Metaverse US Index",2377338740193.9995,USD,226.09,USD,226.77,USD,0.15000000000000568,USD,0.0663452607368772,0.3007651820071683,9386793075,46819122,46819363,165348,38793463.400000006,44501151.96666669,39537114.33333335,1.9541808835910954,2.444633395591222,2.1176993622543687,227.28,48.453740811384236,1.1990776744261087,1.25639554087039,1.4215742,1.4171846,1.1621968,5.864649799398937,4.119676922575114,4.429585690052772,2.4393209992454983,1.0155900689385264,0.5259740104326757,0.5940198762316903,0.2480511988709073,0.2932592816685597,230.08,USD,230.08,USD,230.08,USD,230.08,USD,230.08,USD,226.38,USD,226.72,USD,226.94,USD,226.94,USD,226.94,USD,229.6393,USD,230.08,USD,230.08,USD,230.08,USD,376908.19672131096,USD,226.03698000000017,226.0181125,226.25749999999994,226.92033076923042,226.55423164861287,226.11281499999959,225.6713983513863,229.0712076730538,227.3768550000006,225.6825023269474,US0231351067,1.25639554087039,2024-10-31,2025-01-30,Strong buy,237.218033,USD,Sell
GOOG,Alphabet Inc.,Internet software/Services,Technology services,NASDAQ,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Communication Services, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, NASDAQ-100 Technology Sector, Russell 1000, NASDAQ Computer, S&P 500 ESG",2156277991028.0002,USD,177.1,USD,179.2,USD,7.909999999999997,USD,4.466403162055334,1.185770750988139,5140848038,19887282,19887786,664146,15792433.299999937,19761189.366666716,17821202.71111113,1.5051311288483389,1.9001689745030708,1.798320733460264,176.84666666666666,23.492737281952643,1.0368430770913815,1.2235760284459258,1.0497793,0.92969555,1.0178709,5.469338335607094,6.406125457332974,4.7201290159743285,2.855496150383978,1.429573406330719,0.7833289755727338,0.9094377033129184,0.23774161208550446,0.24428072572706477,184.025,USD,184.025,USD,193.31,USD,193.31,USD,193.31,USD,177.16,USD,177.19,USD,177.19,USD,177.19,USD,177.19,USD,177.86,USD,178.04,USD,178.04,USD,178.04,USD,1683033.6105905701,USD,176.94200000000023,176.96749999999986,176.93900000000127,176.87461538461574,177.10990779263645,176.9405,176.77109220736352,177.13239967545368,176.84023499999955,176.54807032454542,US02079K1079,1.2235760284459258,2024-10-29,2025-02-04,Strong buy,209.836364,USD,Buy
GOOGL,Alphabet Inc.,Internet software/Services,Technology services,NASDAQ,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Communication Services, S&P 100, ISE CTA Cloud Computing, Nasdaq US Large Cap Growth, Russell 3000, NASDAQ-100 Technology Sector, Russell 1000, NASDAQ Computer, S&P 500 ESG, NASDAQ CB Insights Metaverse US Index",2156277991028.0002,USD,175.37,USD,177.8,USD,7.8700000000000045,USD,4.487654672977136,1.3856417859383057,5823414264,25389354,25389631,1312603,23300665.400000013,28793966.70000001,25601102.544444446,1.5030233227756897,1.9386654845001516,1.8432951990324828,175.09333333333333,23.263248656894607,1.0508319112900775,1.0311574778890387,1.0620883,0.9357299,1.012263,5.978944862211722,8.712493064281247,7.301022044267684,4.152547347082188,1.8509790176999315,0.9832212774330287,0.8417408407916152,0.2047057331668992,0.2562327724318567,182.49,USD,182.49,USD,191.75,USD,191.75,USD,191.75,USD,175.52,USD,175.575,USD,175.575,USD,175.575,USD,175.575,USD,176.16,USD,176.26,USD,176.26,USD,176.26,USD,1683033.6105905701,USD,175.2699999999999,175.31812500000004,175.3000000000003,175.23412307692294,175.4911540768242,175.3022500000001,175.113345923176,175.47906231416857,175.19493000000043,174.91079768583228,US02079K3059,1.0311574778890387,2024-10-29,2025-02-04,Strong buy,209.946429,USD,Buy
META,"Meta Platforms, Inc.",Internet software/Services,Technology services,NASDAQ,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Communication Services, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, NASDAQ-100 Technology Sector, Russell 1000, NASDAQ Computer, NASDAQ CB Insights Metaverse US Index",1548651147877.9998,USD,613.57,USD,612.68,USD,4.42999999999995,USD,0.7220040093224814,-0.14505272422056162,2173143900,11426015,11426015,59058,11685639.8,13134273.633333333,12322646.58888889,3.3373305611741535,3.283832353848564,2.384104074475905,615.3800333333334,28.894958675739954,0.9248525975435792,0.9970833039143532,1.0215726,1.1838629,1.195832,4.791075497762577,5.005370057928071,3.4383400072332257,1.703566995684409,0.7320763121548339,0.3646104464082189,0.4471490368288861,0.19576149909305887,0.2542878024703436,629.7899,USD,629.7899,USD,629.7899,USD,629.7899,USD,629.7899,USD,613.95,USD,613.95,USD,613.95,USD,613.95,USD,613.95,USD,613.95,USD,626.4,USD,626.4,USD,629.7899,USD,2003981.1637476399,USD,613.3825199999985,613.2528250000005,612.4029999999993,611.2067692307711,613.9358159224,612.4781650000007,611.0205140776013,613.0368002894677,610.9097900000029,608.7827797105381,US30303M1027,0.9970833039143532,2024-10-30,2025-01-29,Buy,654.52678,USD,Buy
TSLA,"Tesla, Inc.",Motor vehicles,Consumer durables,NASDAQ,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Consumer Discretionary, S&P 100, Nasdaq US Large Cap Growth, Russell 1000, NASDAQ Industrials, S&P 500 ESG, NASDAQ Clean Edge Green Energy",1251249242505,USD,389.79,USD,391.3,USD,1.4424999999999955,USD,0.3700710639062047,0.3873880807614333,2795243206.56,96354393,96359173,799189,69952916.00000016,94897877.86666657,84390057.91111112,7.087114097510653,4.530806577561567,4.61777701299853,390.8666666666667,106.78007889546352,1.4158100788231458,1.3917700027075335,2.4097323,1.8168627,2.3621492,2.9650546818792565,2.8792966598384844,2.7288048564777716,1.4856633246348747,0.6144773085426141,0.3883645687060048,0.6253062586825482,0.217334919147856,0.22704494398108171,404.8,USD,404.8,USD,404.8,USD,404.8,USD,414.49625277,USD,390,USD,390,USD,390,USD,390,USD,390,USD,390,USD,404.8,USD,404.8,USD,404.8,USD,688908.188762253,USD,389.372,388.97395000000085,387.28975999999966,385.25211538461497,390.35579973862605,387.46825,384.580700261374,388.76255100500515,385.384699999999,382.0068489949928,US88160R1014,1.3917700027075335,2024-10-23,2025-01-22,Neutral,264.552791,USD,Strong buy
BRK.B,Berkshire Hathaway Inc. New,Property/Casualty insurance,Finance,NYSE,"S&P 500, S&P 100, Russell 3000, S&P 500 Financials, Russell 1000",1000490780416.9998,USD,463.87,USD,464.36,USD,0.8899999999999864,USD,0.19186409985556002,0.10563304374070519,1323233176.8500001,3748171,3748171,5528,4115104.4,4038312.2666666666,3889308.177777778,1.78671615381295,1.4767144762427025,1.2088516826494369,466.3299999999999,9.369710386730064,1.0248748722589922,0.9078101290809326,0.29054514,0.87612,0.8708915,7.925479416298931,8.767259872495996,6.297395840091347,3.6803634533048237,1.6101331792386486,0.881882851747072,0.7606419636400683,0.20733150610035997,0.3166934091846553,491.67,USD,491.67,USD,491.67,USD,491.67,USD,491.67,USD,464.27,USD,464.6749,USD,465.06,USD,465.06,USD,465.06,USD,466.35,USD,471.7,USD,471.7,USD,485.09,USD,919248.42370744,USD,463.92800000000017,463.8675000000003,464.08299999999946,464.6443230769232,464.6634470708615,464.11918000000117,463.57491292914085,466.544487062949,465.07385499999873,463.6032229370485,US0846707026,0.9078101290809326,2024-11-02,2025-02-24,Buy,508.75,USD,Sell
LLY,Eli Lilly and Company,Pharmaceuticals: major,Health technology,NYSE,"S&P 500, S&P 500 Health Care, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000, S&P 500 ESG",762851105398,USD,803.58,USD,808.66,USD,10.419999999999959,USD,1.296697279673456,0.6321710346200661,850673523.756,3175953,3175956,10031,3542990.3,4930196,3551793.388888889,3.173672124600647,2.5399895054210138,2.362416215901765,809.52,87.90461084067167,0.8233261663365508,0.8756563384009661,1.1150209,0.43492174,0.4055565,4.57877610051523,9.271139874931027,10.201621757907494,4.974800419672956,1.8933613093074817,1.0942842397264694,0.7191709074562616,0.17015066224830278,0.2674842868358306,846.4629,USD,942.35,USD,972.53,USD,972.53,USD,972.53,USD,803.62,USD,805.76,USD,805.76,USD,805.76,USD,805.76,USD,810.8399,USD,823.7,USD,823.7,USD,846.4629,USD,793583.720930233,USD,802.4409999999993,802.5837499999991,803.8490000000013,804.3449461538451,806.092878343843,803.8092550000003,801.5256316561577,807.2413143468726,804.9339650000007,802.6266156531289,US5324571083,0.8756563384009661,2024-10-30,2025-01-30,Buy,1010.181818,USD,Sell
JPM,JP Morgan Chase & Co.,Major banks,Finance,NYSE,"S&P 500, Dow Jones Industrial Average, S&P 100, KBW NASDAQ Bank, Nasdaq US Large Cap Growth, Russell 3000, S&P 500 Financials, Dow Jones Composite Average, Russell 1000, S&P 500 ESG, NYSE Arca Major Market",686408179003,USD,243.81,USD,244.23,USD,0.060000000000002274,USD,0.024609326934909262,0.17226528854435316,2804357358.66,7076466,7076466,969,6954702.2,8642949.433333334,8636390.977777777,1.6860436494913071,1.555574944172578,1.483334436924945,245.14663333333337,13.56255597523461,1.0220232733623416,1.0042118064514032,0.64458215,1.1100141,1.1057929,7.846709680323925,11.7624864332404,7.459044161995071,4.5456769231386165,2.0694934293247176,1.179509827340912,0.933151546721765,0.17223728886899448,0.22617709835432276,254.31,USD,254.31,USD,254.31,USD,254.31,USD,254.31,USD,244.1146,USD,244.93,USD,244.98,USD,244.98,USD,244.98,USD,245.585,USD,247.8699,USD,247.8699,USD,250.25,USD,772181.101295148,USD,243.96700000000016,244.0437500000002,244.4549799999999,244.67999230769195,245.14798322759415,244.4307100000004,243.71343677240665,245.59810907981694,244.86420500000176,244.13030092018658,US46625H1005,1.0042118064514032,2024-10-11,2025-01-15,Buy,249.111111,USD,Sell
V,Visa Inc.,Miscellaneous commercial services,Commercial services,NYSE,"S&P 500, Dow Jones Industrial Average, S&P 100, Nasdaq US Large Cap Growth, S&P 500 Financials, Dow Jones Composite Average, Russell 1000, S&P 500 ESG, KBW NASDAQ Financial Technology Index",604187787188.0001,USD,308.3,USD,307.38,USD,0.30000000000001137,USD,0.09730781706130762,-0.29841063898800385,1722042605.79,5785297,5785297,563,6219599.4,5941910.166666667,6965854.044444445,1.7455467429463025,1.4305594026895165,1.1737209600394436,309.65000000000003,32.13667729897638,1.004411526026246,0.9281689466336671,0.47551528,0.9189649,0.96074724,4.351224689355816,7.070042467918853,6.610075693120899,4.02162745723764,2.0420857765333364,1.1465889727303928,0.9789189761419937,0.2082861900755167,0.21391111812844088,317.42,USD,317.42,USD,317.42,USD,317.42,USD,317.42,USD,308.38,USD,309.31,USD,309.49,USD,309.49,USD,309.49,USD,309.72,USD,313.01,USD,313.01,USD,317.42,USD,1136898.7341772201,USD,308.0859999999999,308.0793749999991,308.68000000000006,308.9863461538464,309.74526348794285,308.6539999999999,307.5627365120569,309.83317040208703,309.08287499999904,308.33257959791104,US92826C8394,0.9281689466336671,2024-10-29,2025-01-23,Buy,329.058824,USD,Sell
