Symbol,Description,Industry,Sector,Exchange,Index,Market capitalization,Market capitalization - Currency,Price,Price - Currency,Pre-market Open,Pre-market Open - Currency,Pre-market Change,Pre-market Change - Currency,Pre-market Change %,Pre-market Gap %,Float shares outstanding,Volume 1 day,Volume 1 week,Pre-market Volume,Average Volume 10 days,Average Volume 30 days,Average Volume 90 days,Volatility 1 day,Volatility 1 week,Volatility 1 month,Volume Weighted Average Price 1 day,Price to earnings ratio,Relative Volume at Time,Relative Volume 1 day,Beta 1 year,Beta 3 years,Beta 5 years,Relative Volume 1 minute,Relative Volume 5 minutes,Relative Volume 15 minutes,Relative Volume 30 minutes,Relative Volume 1 hour,Relative Volume 2 hours,Relative Volume 4 hours,Relative Volume 1 week,Relative Volume 1 month,High 1 month,High 1 month - Currency,High 3 months,High 3 months - Currency,High 6 months,High 6 months - Currency,High 52 weeks,High 52 weeks - Currency,High All Time,High All Time - Currency,High 5 minutes,High 5 minutes - Currency,High 15 minutes,High 15 minutes - Currency,High 30 minutes,High 30 minutes - Currency,High 1 hour,High 1 hour - Currency,High 2 hours,High 2 hours - Currency,High 4 hours,High 4 hours - Currency,High 1 day,High 1 day - Currency,High 1 week,High 1 week - Currency,High 1 month,High 1 month - Currency,"Revenue per employee, Annual","Revenue per employee, Annual - Currency",Simple Moving Average (5) 1 minute,Simple Moving Average (8) 1 minute,Simple Moving Average (5) 5 minutes,Simple Moving Average (13) 5 minutes,"Bollinger Bands (20) 1 minute, Upper","Bollinger Bands (20) 1 minute, Basis","Bollinger Bands (20) 1 minute, Lower","Bollinger Bands (20) 5 minutes, Upper","Bollinger Bands (20) 5 minutes, Basis","Bollinger Bands (20) 5 minutes, Lower",International Securities Identification Number,Relative Volume 1 day,Recent earnings date,Upcoming earnings date,Analyst Rating,Target price 1 year,Target price 1 year - Currency,Technical Rating 5 minutes
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,Semiconductors,Electronic technology,NYSE,PHLX Semiconductor Sector,857644408985.5469,USD,203.06,USD,203.18,USD,1.3700000000000045,USD,0.6746774352408178,0.059095833743723306,5178858132.888801,8053148,33534763,10239,12870982.799999997,12029667.566666657,13141670.822222235,2.597466607521322,2.255226364371347,2.673169168094881,204.7033333333333,32.511968234145094,0.5673539831071047,0.6209809945292449,2.174879,1.3367821,1.1007622,3.1211746843083077,7.423953487817045,5.571649729833925,2.719166416657505,0.6850802933826694,0.28619177972039456,0.28981233957889324,0.4818613435025475,0.7009850914340354,208.16,USD,212.6,USD,212.6,USD,212.6,USD,212.6,USD,203.59,USD,203.9,USD,203.99,USD,203.99,USD,203.99,USD,204.59,USD,208.16,USD,208.16,USD,208.16,USD,906799.671644317,USD,203.16800000000018,203.347125,203.55540000000013,203.9622692307688,204.0782781728571,203.56534999999968,203.05242182714227,204.67554849230956,204.01144000000002,203.34733150769048,US8740391003,0.6209809945292449,2024-10-17,2025-01-16,Strong buy,241.621818,USD,Sell
XOM,Exxon Mobil Corporation,Integrated oil,Energy minerals,NYSE,"S&P 500, S&P 500 Energy, S&P 100, Russell 3000, Russell 1000, S&P 500 ESG, NYSE Arca Major Market",468033628043,USD,106.49,USD,106.49,USD,0.030000000000001137,USD,0.02817165931073447,0,4387737014.43,9653408,29745483,2029,17302615.3,16467706.033333333,14889888.5,1.0288842741174282,1.1064381678092312,1.5345396740444799,106.48666666666666,13.263501394978078,0.6330615796975643,0.49311209042936954,0.18617457,0.4360166,0.8713689,3.7247032758347838,5.640561297163371,3.6061928518294923,2.784215346290053,1.0842888804288644,0.5659205167492085,0.5614647900761944,0.3986163240957722,0.9570916842452722,118.73,USD,126.34,USD,126.34,USD,126.34,USD,126.34,USD,106.6,USD,106.6,USD,106.6,USD,106.6,USD,106.6,USD,106.6,USD,107.03,USD,107.19,USD,118.72,USD,5382435.48387097,USD,106.5019999999998,106.46937499999986,106.33099999999986,106.20490769230794,106.56982148102995,106.35408499999978,106.13834851896962,106.41949004650006,106.14919000000012,105.87888995350018,US30231G1022,0.49311209042936954,2024-11-01,2025-01-31,Buy,129.75,USD,Buy
NVO,Novo Nordisk A/S,Pharmaceuticals: major,Health technology,NYSE,,384585252008.6066,USD,87.65,USD,89.94,USD,1.3299999999999983,USD,1.5173987450085547,2.612664004563596,3337558669.77,6292075,30064879,57661,11359618.9,7394519.866666666,5369515.655555556,1.3698630136986274,2.738888965556241,2.0931990736619133,87.52666666666669,28.421803560426735,0.6458421672159832,0.5526646798145655,1.0137628,0.43178707,0.40514392,3.5410579674432876,3.706288335809056,2.3246419416865125,1.6697563408501408,0.6811786411318546,0.2122022989167233,0.3009965822209196,0.9589350617917404,1.627332148081248,112.52,USD,120.56,USD,145.99,USD,148.15,USD,148.15,USD,87.780959,USD,87.97,USD,88.05,USD,88.05,USD,88.05,USD,88.06,USD,88.06,USD,89.1,USD,112.52,USD,531802.0719355519,USD,87.71800000000003,87.70937499999998,87.8080000000001,87.90465384615393,88.00983142966115,87.81280499999995,87.61577857033876,88.12373002399937,87.90902500000011,87.69431997600086,US6701002056,0.5526646798145655,2024-11-06,2025-02-05,Buy,129.944146,USD,Sell
ASML,ASML Holding N.V. - New York Registry Shares,Semiconductors,Electronic technology,NASDAQ,"NASDAQ 100, NASDAQ Composite, PHLX Semiconductor Sector, NASDAQ-100 Technology Sector, NASDAQ Computer",282301693590.87726,USD,715.86,USD,720.28,USD,5.080000000000041,USD,0.7096359623390105,0.6174391640823568,392628610.537569,734798,2554258,1700,1475628.5,1725239.3333333333,1844590.1,1.3204708132356437,1.5918285522049314,2.2629290269178273,715.8233333333334,37.52044110864187,0.5516519953852967,0.48218132390106755,2.2331026,1.9037766,1.4839512,4.979589727690797,5.663724756918474,5.037422856392524,2.625250740280829,0.8384927951857312,0.35758603809241907,0.2745544553555495,0.22428085514059945,0.8890888994240856,757.1912,USD,873.6535,USD,1110.09,USD,1110.09,USD,1110.09,USD,717.79,USD,719.39,USD,719.39,USD,719.39,USD,719.39,USD,719.97,USD,720.5,USD,722.05,USD,757.1912,USD,702421.830086265,USD,716.7360000000002,717.3893750000003,717.7600000000023,718.5759615384595,719.8933698407243,718.0994999999996,716.3056301592749,720.42072789541,718.7533750000015,717.086022104593,USN070592100,0.48218132390106755,2024-10-15,2025-01-29,Buy,885.952806,USD,Strong sell
TM,Toyota Motor Corporation,Motor vehicles,Consumer durables,NYSE,,267767434035.70312,USD,197.36,USD,201,USD,3.6399999999999864,USD,1.8443453587352991,1.8443453587352991,1314975852.44304,1297220,1888488,1110,436642.1,379924.5,372456.5111111111,8.579610971339333,1.4905659991090108,1.1891306389633176,196.1641,9.383171527190088,4.211675476901862,3.861300141507384,0.92418206,0.89809966,0.6922819,9.355470807610459,9.920512128997458,9.057540134220854,3.7002286300563023,1.8005303699183797,1.2690519063309782,1.4431399538191796,1.0259777477947587,1.0728910871138286,198,USD,198,USD,208.8599,USD,255.23,USD,255.23,USD,197.45,USD,197.45,USD,197.45,USD,197.45,USD,197.45,USD,197.45,USD,198,USD,198,USD,198,USD,818968.78715583,USD,196.93799999999982,197.0562499999998,197.0389999999999,197.0203846153844,197.39462709623416,196.99271500000015,196.59080290376613,197.35837860591417,196.8899949999997,196.4216113940852,US8923313071,3.861300141507384,2024-11-05,2025-02-05,Buy,209.898063,USD,Strong buy
CVX,Chevron Corporation,Integrated oil,Energy minerals,NYSE,"S&P 500, Dow Jones Industrial Average, S&P 500 Energy, S&P 100, Russell 3000, Dow Jones Composite Average, Russell 1000, S&P 500 ESG, NYSE Arca Major Market",258745216509,USD,143.98,USD,144.08,USD,0.11000000000001364,USD,0.07639949993055539,0.06945409084596663,1796556264.27,4494424,16206971,200,11244324.3,9055515,7741763.466666667,0.9867039888033565,1.079962202872875,1.6886289253293683,143.73000000000002,15.84688026239035,0.4481461402945302,0.3692623864648903,0.42770928,0.74373347,1.0893229,5.549766179061422,5.528226925567674,4.739055810439409,3.2783550367014698,1.1450985347182094,0.4899350551424411,0.32557546280844013,0.40293608191641805,1.1511314970933368,164.68,USD,164.68,USD,164.68,USD,167.11,USD,189.68,USD,144.15,USD,144.15,USD,144.15,USD,144.15,USD,144.15,USD,144.15,USD,144.31,USD,144.31,USD,163.197,USD,4324934.21052632,USD,144.03499999999948,144.0118749999998,143.87580000000054,143.7511615384613,144.1256357143132,143.88834999999995,143.6510642856867,143.95438093274504,143.70425499999993,143.45412906725483,US1667641005,0.3692623864648903,2024-11-01,2025-01-31,Buy,175.181818,USD,Buy
SHEL,Shell PLC,Integrated oil,Energy minerals,NYSE,,185424705749.36252,USD,61.36,USD,61.47,USD,0.3999999999999986,USD,0.6518904823989546,0.17926988265971225,3117780817.645,2288924,6959071,64364,3998266.4,3964367.4,4276631.633333334,0.7256420709335512,0.9549782650526785,1.2796570854946656,61.48499999999999,12.627593019427065,0.5386658361730734,0.5559003974103361,0.24907966,0.24001817,0.5411255,3.484239149062575,4.621096737090241,5.122025383395029,3.358449886518258,1.5258624814182795,0.6809384615701571,0.43810800396646404,0.3230278115102979,0.8679663331042275,65.635,USD,70.555,USD,74.46,USD,74.605,USD,88.73,USD,61.445,USD,61.445,USD,61.445,USD,61.445,USD,61.445,USD,61.51,USD,61.77,USD,61.77,USD,65.635,USD,2847264.1509434,USD,61.39800000000008,61.40249999999996,61.372260000000004,61.36743846153834,61.44224915415584,61.37930000000002,61.316350845844205,61.433254780258544,61.38115549999984,61.32905621974114,US7802593050,0.5559003974103361,2024-10-31,2025-01-30,Strong buy,80.823077,USD,Sell
RY,Royal Bank Of Canada,Major banks,Finance,NYSE,,171328198794.9913,USD,121.08,USD,123.69,USD,2.6099999999999994,USD,2.1555996035678886,2.1555996035678886,1414808975,281793,1321245,100,858505.8,1014694.4333333333,991882.6333333333,0.789167635819906,0.9140181911382853,1.2582175299714955,120.92999999999998,15.001656463875895,0.2764221101785714,0.323782991525821,0.76076,0.9769946,0.8402959,1.6188192599313072,7.78391959798995,9.446988551518169,5.111062906724512,1.0348916881884784,0.3484590573178325,0.1882238936828019,0.22703513128711628,0.6795268594801331,128.05,USD,128.05,USD,128.05,USD,128.05,USD,128.05,USD,121.32,USD,121.32,USD,121.32,USD,121.32,USD,121.32,USD,121.32,USD,121.33,USD,121.33,USD,128.05,USD,1007709.5510238508,USD,121.20399999999992,121.22249999999997,121.13980000000001,121.06753846153859,121.3222157446351,121.17389999999993,121.02558425536476,121.23432708059657,120.99789999999966,120.76147291940275,CA7800871021,0.323782991525821,2024-12-04,2025-02-21,Strong buy,131.35169994569998,USD,Buy
VZ,Verizon Communications Inc.,Wireless telecommunications,Communications,NYSE,"S&P 500, Dow Jones Industrial Average, S&P 500 Communication Services, S&P 100, Russell 3000, Dow Jones Composite Average, Russell 1000, NASDAQ CB Insights Metaverse US Index",168216669681,USD,39.96,USD,39.97,USD,0.030000000000001137,USD,0.07507507507507792,0.025025025025020048,4207718827.98,12953124,45957627,1072,20080215.6,17415279.29999999,18117945.86666667,1.0820332159033712,0.9049093071837062,1.491970323478367,39.95666666666667,17.22785082992024,0.8057851938726914,0.6417676767263889,0.16277619,0.4202143,0.42913067,6.645062216300445,6.371269407500869,4.728559262173078,3.348465518119365,1.1770424981427632,0.5490895310672149,0.6743646272388625,0.517474642222151,0.8765311270183566,44.73,USD,45.36,USD,45.36,USD,45.36,USD,63.997594,USD,39.96,USD,39.96,USD,39.96,USD,39.96,USD,39.96,USD,39.96,USD,40.17,USD,40.17,USD,44.42,USD,1271100.56925996,USD,39.92799999999996,39.92187499999994,39.867200000000054,39.8222,39.974251565168345,39.866635,39.75901843483166,39.90855411353944,39.820314999999866,39.732075886460294,US92343V1044,0.6417676767263889,2024-10-22,2025-01-24,Buy,86.091289,USD,Strong buy
TBB,AT&T Inc. 5.350% Global Notes due 2066,Wireless telecommunications,Communications,NYSE,,164744630306,USD,24.27,USD,24.5,USD,0.23000000000000043,USD,0.9476720230737553,0.9476720230737553,7155758860.62,74644,267637,200,238707.6,186346.23333333334,112687.78888888888,1.1666666666666714,0.9181650178234085,0.9748917188492854,24.183333333333334,19.728499430986833,0.28930645298380203,0.3038182007632494,0.15908043,0.3181406,0.28150013,1.380452788514633,1.3162293163964567,1.07421875,2.9432662288728606,0.9802972444826907,0.45824429080243034,0.2830903148393143,0.3978114476863313,2.3992639950767,24.55,USD,24.9,USD,24.9,USD,24.9,USD,27.62,USD,24.28,USD,24.28,USD,24.28,USD,24.28,USD,24.28,USD,24.28,USD,24.28,USD,24.28,USD,24.55,USD,816731.154102735,USD,24.26600000000001,24.26178750000007,24.25286000000005,24.201038461538452,24.302983775884943,24.237714999999973,24.172446224115003,24.269731338246924,24.181063949999967,24.09239656175301,US00206R3003,0.3038182007632494,,,,,,Buy
