Symbol,Description,marketCapType,Pre-market Change %,Pre-market Gap %,marketCapType,Market capitalization,Price,Pre-market Open,Industry,Index,Sector,Exchange,Recent earnings date,Upcoming earnings date,Float shares outstanding,Average Volume 10 days,Average Volume 30 days,Average Volume 90 days,Relative Volume 1 day,Relative Volume 5 minutes,Relative Volume 30 minutes,Relative Volume at Time,Analyst Rating,Technical Rating 5 minutes
ARQQ,Arqit Quantum Inc.,Small caps,14.787878787878794,1.3333333333333264,Small caps,412632305.0,33.0,33.44,Packaged software,"NASDAQ Composite, NASDAQ Computer",Technology services,NASDAQ,2024-12-05,2025-05-08,4726849.608,1210359.1,837085.8,346877.4564444444,2.4123232987437815,3.1707165147843854,1.4756858322416575,2.403655776222643,Strong buy,Strong buy
OKLO,Oklo Inc.,Mid caps,12.984293193717262,0.418848167539258,Mid caps,2332038905.0,19.1,19.18,Industrial machinery,,Producer manufacturing,NYSE,2024-11-14,2025-02-26,72265447.904,8344330.0,14420534.033333331,12066406.233333332,0.877309852425469,3.338028375331423,3.1899389791763593,0.826468184881319,Buy,Buy
JBL,Jabil Inc.,Large caps,10.107494774559564,4.8447297700806065,Large caps,14962403312.000002,133.96,140.45,Industrial machinery,"S&P 500, S&P 500 Information Technology, Russell 3000, Russell 1000",Producer manufacturing,NYSE,2024-12-18,2025-03-13,106972853.82,978645.9,1084583.7,1303804.4,2.056526486656657,10.92061612171701,5.353767436785024,2.205496431918637,Buy,Buy
SDRL,Seadrill Limited,Mid caps,3.4307156258375797,2.5730367193781847,Mid caps,2559307201.0,37.31,38.27,Contract drilling,"Russell 2000, Russell 3000, Mini-Russell 2000",Industrial services,NYSE,2024-11-12,2025-02-27,65186007.640152,774313.9,896772.5666666667,1073933.411111111,1.1691864997507715,9.91042474096338,4.185288688078166,1.1724910392570744,Strong buy,Buy
WK,Workiva Inc.,Mid caps,2.799890200384288,2.0221429224997656,Mid caps,6062223309.0,109.29,111.5,Information technology services,"Russell 2000, ISE CTA Cloud Computing, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Technology services,NYSE,2024-11-06,2025-02-25,48698142.2116,418517.0,454081.6666666667,361034.84444444446,1.158978158178366,6.4625107988905555,3.9999588064866054,1.3518485685245685,Strong buy,Neutral
LTH,"Life Time Group Holdings, Inc.",Mid caps,2.60683760683762,2.60683760683762,Mid caps,4843159362.999999,23.4,24.01,Other consumer services,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Consumer services,NYSE,2024-10-24,2025-03-06,80535947.94982,1053998.1,1096782.4666666666,1463819.0555555555,1.2902665213351865,7.515954690160657,7.290542023841326,1.299330663017543,Buy,Neutral
RIG,Transocean Ltd (Switzerland),Mid caps,2.4495912806539533,1.0899182561307912,Mid caps,3214199462.0,3.67,3.71,Contract drilling,"Russell 2000, Russell 3000, Mini-Russell 2000, PHLX Oil Service Sector",Industrial services,NYSE,2024-10-30,2025-02-24,731106290.532,23246027.4,19863389.5,19642277.366666667,1.1091583748667624,5.565914093858011,2.105223213476158,1.0633727910953796,Neutral,Buy
GLNG,Golar LNG Limited,Mid caps,1.8246445497630237,1.8246445497630237,Mid caps,4412723350.999999,42.2,42.97,Marine shipping,"NASDAQ Composite, Russell 2000, Russell 3000, NASDAQ Industrials, Mini-Russell 2000, PHLX Oil Service Sector",Transportation,NASDAQ,2024-11-12,2025-03-04,93222839.871,1692807.9,1519231.8666666667,1237711.411111111,1.2499856406289789,7.030219415384161,5.450026870940374,0.8763559282241618,Strong buy,Sell
STEP,StepStone Group Inc.,Mid caps,1.7656500802568242,1.7656500802568242,Mid caps,7174672623.000001,62.3,63.4,Investment managers,"NASDAQ Composite, Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000, NASDAQ Real Estate and Other Financial Services",Finance,NASDAQ,2024-11-07,2025-02-11,62592904.077599995,865515.1,702147.5,641310.3555555556,0.7226873663340705,5.775956952427541,5.254485037768739,0.6088986727534654,Buy,Buy
CRS,Carpenter Technology Corporation,Mid caps,1.640009272137218,1.1300417246175178,Mid caps,8601228933.0,172.56,174.51,Other metals/Minerals,"Russell 2000, Nasdaq US Mid Cap Growth, Russell 3000, Mini-Russell 2000",Non-energy minerals,NYSE,2024-10-24,2025-01-30,47292741.4302,704010.6,627477.3666666667,571521.0444444445,1.3748840851137814,6.003537586860392,3.1364407817033513,1.5500808113338171,Strong buy,Buy
