Symbol,Description,marketCapType,marketCapType,Pre-market Change %,Pre-market Gap %,Market capitalization,Price,Pre-market Open,Relative Volume 5 minutes,Industry,yahooPrice,RSI,MA5,MA20,MA50,MACD,Volume,Date
SMLR,"Semler Scientific, Inc.",Small caps,Small caps,27.34941791800236,11.725999662561152,430670168.0,59.27,66.22,1.5023350836378218,Medical specialties,59.27000045776367,75.96622129054388,48.51999969482422,39.48399991989136,30.871199913024903,6.260698352232403,2546900,2024-11-20 00:00:00-05:00
MARA,"MARA Holdings, Inc.",Mid caps,Mid caps,11.533362792752982,8.351745470614231,7283046857.0,22.63,24.52,2.085262512538293,Data processing services,22.6299991607666,59.19729306900407,20.49200019836426,19.417000102996827,17.664599952697753,1.0820259635657656,123377800,2024-11-20 00:00:00-05:00
SRAD,Sportradar Group AG,Mid caps,Mid caps,4.144041154615592,2.02915118605316,5216331753.000001,17.495,17.85,7.940331252703789,Packaged software,17.4950008392334,82.49438196248813,17.27700004577637,14.599999952316285,13.158099994659423,1.3838338968299198,913000,2024-11-20 00:00:00-05:00
BJ,"BJ's Wholesale Club Holdings, Inc.",Large caps,Large caps,3.722287047841304,0.6301050175029079,11362581747.0,85.7,86.24,8.616590319882608,Specialty stores,85.69999694824219,44.66318008149273,86.61599884033203,86.95600090026855,85.28940032958984,0.42132849690354135,2963800,2024-11-20 00:00:00-05:00
LMND,"Lemonade, Inc.",Mid caps,Mid caps,2.4044654358093704,0.66552168312581,3326023650.9999995,46.58,46.89,4.081135033250818,Property/Casualty insurance,46.58000183105469,86.74940080719144,37.20800018310547,27.94900016784668,21.712600059509278,5.433728750338979,9338600,2024-11-20 00:00:00-05:00
KD,"Kyndryl Holdings, Inc.",Mid caps,Mid caps,2.173151069050114,1.121626358219419,6626689937.0,28.53,28.85,5.693665628245068,Data processing services,28.530000686645508,72.62925650865515,28.162000274658205,25.844999885559083,24.591799964904784,1.2072251238391445,2525800,2024-11-20 00:00:00-05:00
GAP,"Gap, Inc. (The)",Mid caps,Mid caps,2.133850630455857,0.8729388942773992,7759654681.0,20.62,20.8,6.107218791369827,Apparel/Footwear retail,20.6200008392334,40.072838673144076,21.320000457763673,21.537500190734864,21.23118507385254,-0.04765004996207978,9434100,2024-11-20 00:00:00-05:00
RRC,Range Resources Corporation,Mid caps,Mid caps,2.034698521046651,1.6780432309442646,8484447138.0,35.16,35.75,8.418741776373654,Oil & gas production,35.15999984741211,70.63092612635924,34.16399993896484,32.46549987792969,31.345600128173828,1.0243849687656947,3164000,2024-11-20 00:00:00-05:00
CORZ,"Core Scientific, Inc.",Mid caps,Mid caps,1.9698725376593271,1.6222479721900207,4819907211.0,17.26,17.54,7.490251579166499,Data processing services,17.260000228881836,66.75384754334121,16.119999885559082,15.013999795913696,13.381799964904785,1.013961880962869,10194300,2024-11-20 00:00:00-05:00
ZI,ZoomInfo Technologies Inc.,Mid caps,Mid caps,1.6949152542373025,0.0,3646576020.999999,10.62,10.62,7.185902480291019,Packaged software,10.619999885559082,48.39882374736379,10.207999801635742,11.038499879837037,10.550399951934814,-0.013445518677183799,17220200,2024-11-20 00:00:00-05:00
CRK,"Comstock Resources, Inc.",Mid caps,Mid caps,1.6666666666666667,1.6000000000000014,4383909760.0,15.0,15.24,4.339627036172028,Oil & gas production,15.0,73.21359597574715,13.938000106811524,12.859999990463256,11.853199977874755,0.7284421148194369,2522700,2024-11-20 00:00:00-05:00
GERN,Geron Corporation,Mid caps,Mid caps,1.5037593984962307,0.0,2411958902.0,3.99,3.99,5.57142362462841,Biotechnology,3.990000009536743,47.13190759795886,3.7860000133514404,4.053999996185302,4.226400008201599,-0.10967031722467002,9507600,2024-11-20 00:00:00-05:00
QS,QuantumScape Corporation,Mid caps,Mid caps,1.3806706114398302,0.5917159763313483,2598229255.0,5.07,5.1,4.549793799535355,Electrical products,5.070000171661377,47.294609550068316,4.867999935150147,5.193499994277954,5.443999996185303,-0.17107157259572148,10061500,2024-11-20 00:00:00-05:00
IMVT,"Immunovant, Inc.",Mid caps,Mid caps,1.37562094000764,1.37562094000764,3841353973.0,26.17,26.53,6.78749883253946,Biotechnology,26.170000076293945,36.26449838892255,26.315999603271486,29.100499820709228,29.18340000152588,-0.9109874159491369,1009600,2024-11-20 00:00:00-05:00
SMPL,The Simply Good Foods Company,Mid caps,Mid caps,1.124169647419514,1.124169647419514,3922670808.0,39.14,39.58,7.421418348105764,Food: major diversified,39.13999938964844,75.96117268645177,37.789999389648436,35.61049976348877,34.524199676513675,1.1749858913141509,2184000,2024-11-20 00:00:00-05:00
CC,Chemours Company (The),Mid caps,Mid caps,1.0909090909090953,1.2987012987012987,2876152264.0,19.25,19.5,13.99611073110341,Chemicals: specialty,19.25,51.95448117899959,19.021999740600585,18.952878379821776,19.01446548461914,0.050671727747385376,1440300,2024-11-20 00:00:00-05:00
RMBS,"Rambus, Inc.",Mid caps,Mid caps,1.01983002832861,0.5240793201133074,5643169600.0,52.95,53.2275,8.912199291732811,Semiconductors,52.95000076293945,59.57311301437897,52.49800033569336,51.20149974822998,45.08340003967285,2.4518397954246254,545500,2024-11-20 00:00:00-05:00
LNTH,"Lantheus Holdings, Inc.",Mid caps,Mid caps,0.9408906882591108,0.6246385193753523,6010595124.0,86.45,86.99,7.260462041729521,Medical specialties,86.44999694824219,39.93075275701461,79.95399932861328,95.68274955749511,103.76419982910156,-7.82054120603236,2026300,2024-11-20 00:00:00-05:00
AVAV,"AeroVironment, Inc.",Mid caps,Mid caps,0.8369466572552167,1.169708581224157,5594053607.0,198.34,200.66,4.632474510884541,Aerospace & defense,198.33999633789062,39.52056514776655,198.9220001220703,214.70850067138673,207.04120025634765,-2.6171287248987483,719100,2024-11-20 00:00:00-05:00
BRKR,Bruker Corporation,Mid caps,Mid caps,0.7869589657110768,0.7869589657110768,8090797698.000001,53.37,53.79,6.914411468926299,Medical specialties,53.369998931884766,40.71702992991945,51.363999938964845,56.52549991607666,61.80480041503906,-2.903424284337788,2900000,2024-11-20 00:00:00-05:00
MWA,MUELLER WATER PRODUCTS,Mid caps,Mid caps,0.7252215954875089,0.7252215954875089,3866858696.0,24.82,25.0,4.925230202578269,Industrial machinery,24.81999969482422,64.57492095720679,24.477999877929687,23.459846591949464,22.344207611083984,0.7664025244446719,1114700,2024-11-20 00:00:00-05:00
QGEN,Qiagen N.V.,Mid caps,Mid caps,0.688999762413873,0.2613447374673305,9337540269.0,42.09,42.2,12.376148459452676,Medical specialties,42.09000015258789,44.76527471282625,41.44800033569336,42.53650016784668,43.57080001831055,-0.4953902916825541,1863700,2024-11-20 00:00:00-05:00
TKC,Turkcell Iletisim Hizmetleri AS,Mid caps,Mid caps,0.5899705014749268,0.7374631268436552,5873166950.8842,6.78,6.83,3.474116038288728,Wireless telecommunications,6.78000020980835,60.23789662347129,6.721999931335449,6.452999997138977,6.543399982452392,0.0801926897583467,385800,2024-11-20 00:00:00-05:00
GLNG,Golar LNG Limited,Mid caps,Mid caps,0.5280711506392575,0.5280711506392575,3762317091.999999,35.98,36.17,5.285729237532053,Marine shipping,35.97999954223633,48.25096849983611,34.8620002746582,36.422999954223634,36.48479988098145,-0.46087193462206955,752700,2024-11-20 00:00:00-05:00
QLYS,"Qualys, Inc.",Mid caps,Mid caps,0.4556893151057523,0.4556893151057523,5379894422.000001,147.03,147.7,9.371668624085284,Packaged software,147.02999877929688,60.437249611269365,145.45,137.8599998474121,130.2018002319336,5.873199813245179,352200,2024-11-20 00:00:00-05:00
BROS,Dutch Bros Inc.,Mid caps,Mid caps,0.4370961611554618,0.608133789433676,8113575568.999999,52.62,52.94,7.13806887646469,Food: specialty/candy,52.619998931884766,82.67808768881987,48.732000732421874,41.169000244140626,36.531999855041505,4.352811161202837,4834100,2024-11-20 00:00:00-05:00
QFIN,"Qifu Technology, Inc",Mid caps,Mid caps,0.4201418439716297,0.3971631205673774,5436894110.4597,35.25,35.39,7.537477455111027,Finance/Rental/Leasing,35.25,61.8861846087698,31.999000549316406,32.66275014877319,30.91286575317383,0.26920486285946765,1987300,2024-11-20 00:00:00-05:00
PHIN,PHINIA Inc.,Mid caps,Mid caps,0.3602578687902876,0.3602578687902876,2218149382.0,52.74,52.93,5.160178727473578,Auto parts: OEM,52.7400016784668,66.56238643100161,52.48399963378906,49.22399978637695,47.4989998626709,1.838365635129449,437800,2024-11-20 00:00:00-05:00
LEGN,Legend Biotech Corporation,Mid caps,Mid caps,0.3487792725460901,0.3487792725460901,7363703099.0,40.14,40.28,6.363523562937902,Pharmaceuticals: major,40.13999938964844,41.30178397620733,38.80799942016601,41.87099990844727,45.33049995422363,-2.0943552742071887,2240100,2024-11-20 00:00:00-05:00
AEIS,"Advanced Energy Industries, Inc.",Mid caps,Mid caps,0.3430531732418612,0.2618037374740509,4173045304.0,110.77,111.06,5.657999601514246,Electronic production equipment,110.7699966430664,50.48604266156105,110.75399780273438,111.58499908447266,107.20239974975586,1.1307510275866264,232300,2024-11-20 00:00:00-05:00
ALHC,"Alignment Healthcare, Inc.",Mid caps,Mid caps,0.3347280334728111,1.2552301255230156,2290768247.0,11.95,12.1,31.504419078048905,Managed health care,11.949999809265137,49.00263856610854,11.703999900817871,12.40499987602234,11.689700012207032,0.11886789711781098,3323000,2024-11-20 00:00:00-05:00
SITE,"SiteOne Landscape Supply, Inc.",Mid caps,Mid caps,0.3296545793320969,0.3296545793320969,6296168375.0,139.54,140.0,21.380805360310056,Trucks/Construction/Farm machinery,139.5399932861328,42.09009268620277,140.28800048828126,144.84400024414063,145.50000091552735,-1.0427078333882207,337900,2024-11-20 00:00:00-05:00
RHI,Robert Half Inc.,Mid caps,Mid caps,0.3167607767525189,0.3167607767525189,7497046824.000001,72.61,72.84,5.180173033309378,Personnel services,72.61000061035156,54.710591127250304,73.21399993896485,72.01900062561035,68.62100028991699,1.6718053822667684,788200,2024-11-20 00:00:00-05:00
SIRI,SiriusXM Holdings Inc.,Mid caps,Mid caps,0.1586671955573151,0.1586671955573151,8551283544.0,25.21,25.25,3.4040326769608535,Broadcasting,25.209999084472656,43.56413640670828,25.665999984741212,26.360939311981202,25.270821189880373,-0.10243152050995263,3797000,2024-11-20 00:00:00-05:00
