Symbol,Description,Pre-market Change %,Pre-market Gap %,marketCapType,Market capitalization,Price,Pre-market Open,Industry,Index,Sector,Exchange,Recent earnings date,Upcoming earnings date,Float shares outstanding,Average Volume 10 days,Average Volume 30 days,Average Volume 90 days,Relative Volume 1 day,Relative Volume 5 minutes,Relative Volume 30 minutes,Relative Volume at Time
PAYC,"Paycom Software, Inc.",0.005975500448174,0.005975500448174,Mid caps,9611319471.000002,167.35,167.36,Packaged software,"S&P 500, S&P 500 Industrials, ISE CTA Cloud Computing, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Technology services,NYSE,2024-07-31,2024-10-30,50545451.1864,501351.8,558496.3,746630.7666666667,1.0484056769191574,8.938356164383562,5.612154075778116,1.3446122507470497
DJT,Trump Media & Technology Group Corp.,12.521114864864863,6.862331081081082,Mid caps,9479492622.0,47.36,50.61,Advertising/Marketing services,"NASDAQ Composite, Nasdaq US Small Cap Growth, Russell 3000, Russell 1000, NASDAQ Computer",Commercial services,NASDAQ,,,75144792.5514,57340062.0,35094987.56666667,17648225.255555555,2.1127866886264295,2.9560460588098048,1.1924841309881016,2.0475024367944212
PSO,"Pearson, Plc",2.661870503597117,1.3669064748201405,Mid caps,9156394134.3096,13.9,14.09,Publishing: books/magazines,,Consumer services,NYSE,2024-07-29,2025-02-21,679222877.751474,261724.9,298960.13333333336,318296.1111111111,1.7323668174832616,26.35371416159861,2.5528910991233986,1.8870928124815392
PAC,"Grupo Aeroportuario Del Pacifico, S.A. B. de C.V. Grupo Aeroportuario Del Pacifico, S.A. de C.V. (each representing 10 Series B shares)",1.5820149875104046,1.5820149875104046,Mid caps,9136515343.58996,180.15,183.0,Other transportation,,Transportation,NYSE,2024-10-21,2025-02-20,43541114.80320001,105972.5,97021.96666666666,67646.37777777777,1.27551979469744,4.689716312056738,3.0446202336073176,1.4942949549619466
AR,Antero Resources Corporation,0.4742794600510726,0.8755928493250581,Mid caps,8524701508.0,27.41,27.65,Oil & gas production,"S&P MidCap 400, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Energy minerals,NYSE,2024-07-31,2024-10-30,287896069.83,3311038.0,3691822.366666666,3543290.3777777776,1.079756499815817,6.563534678627977,5.302240950009577,1.040401214090131
CRS,Carpenter Technology Corporation,1.0660081907974046,1.0660081907974046,Mid caps,8276240233.0,166.04,167.81,Other metals/Minerals,"Russell 2000, Nasdaq US Mid Cap Growth, Russell 3000, Mini-Russell 2000",Non-energy minerals,NYSE,2024-10-24,2025-01-30,47171767.8579,684962.7,602639.6666666666,654277.0777777778,1.546128091176033,6.019035059560475,3.942051904609334,1.7884275710229085
VIPS,Vipshop Holdings Limited,1.0204081632653086,0.0680272108843643,Mid caps,7841714928.0,14.7,14.71,Internet retail,NASDAQ Golden Dragon China,Retail trade,NYSE,2024-08-20,2024-11-14,455180269.27806,2637912.3,4180375.066666667,3983110.311111111,0.6940369459664087,6.080083711196372,2.5735084831759627,0.6928412239853706
CHRD,Chord Energy Corporation,0.0237304224015196,0.1423825344091066,Mid caps,7822815609.000001,126.42,126.6,Integrated oil,"NASDAQ Composite, S&P MidCap 400, Russell 3000, Russell 1000, NASDAQ Industrials",Energy minerals,NASDAQ,2024-08-07,2024-11-06,60957470.2008,767834.9,806520.6666666666,888723.5111111111,0.9436762627723502,2.457391737641989,4.07192268437433,1.1411457077966858
AGCO,AGCO Corporation,0.4023947394248666,0.4023947394248666,Mid caps,7605304255.0,101.89,102.3,Trucks/Construction/Farm machinery,"S&P MidCap 400, Russell 3000, Russell 1000",Producer manufacturing,NYSE,2024-07-30,2024-11-05,61978562.024299994,676033.1,659962.7666666667,804472.3888888889,0.7744400120225059,17.140244539659317,6.4406183328966575,0.7103264997331172
TREX,"Trex Company, Inc.",6.60051120132311,7.126747857465035,Mid caps,7230082553.999999,66.51,71.25,Forest products,"S&P MidCap 400, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Non-energy minerals,NYSE,2024-10-28,2025-03-03,108019971.76,1315068.0,1249403.8333333333,1237275.5777777778,2.11727656989696,7.381171786299491,5.739984161497331,2.0689005756367367
