Symbol,Description,Industry,Sector,Exchange,Index,Market capitalization,Market capitalization - Currency,Price,Price - Currency,Pre-market Open,Pre-market Open - Currency,Pre-market Change,Pre-market Change - Currency,Pre-market Change %,Pre-market Gap %,Float shares outstanding,Volume 1 day,Volume 1 week,Pre-market Volume,Average Volume 10 days,Average Volume 30 days,Average Volume 90 days,Volatility 1 day,Volatility 1 week,Volatility 1 month,Volume Weighted Average Price 1 day,Price to earnings ratio,Relative Volume at Time,Relative Volume 1 day,Beta 1 year,Beta 3 years,Beta 5 years,Relative Volume 1 minute,Relative Volume 5 minutes,Relative Volume 15 minutes,Relative Volume 30 minutes,Relative Volume 1 hour,Relative Volume 2 hours,Relative Volume 4 hours,Relative Volume 1 week,Relative Volume 1 month,High 1 month,High 1 month - Currency,High 3 months,High 3 months - Currency,High 6 months,High 6 months - Currency,High 52 weeks,High 52 weeks - Currency,High All Time,High All Time - Currency,High 5 minutes,High 5 minutes - Currency,High 15 minutes,High 15 minutes - Currency,High 30 minutes,High 30 minutes - Currency,High 1 hour,High 1 hour - Currency,High 2 hours,High 2 hours - Currency,High 4 hours,High 4 hours - Currency,High 1 day,High 1 day - Currency,High 1 week,High 1 week - Currency,High 1 month,High 1 month - Currency,"Revenue per employee, Annual","Revenue per employee, Annual - Currency",Simple Moving Average (5) 1 minute,Simple Moving Average (8) 1 minute,Simple Moving Average (5) 5 minutes,Simple Moving Average (13) 5 minutes,"Bollinger Bands (20) 1 minute, Upper","Bollinger Bands (20) 1 minute, Basis","Bollinger Bands (20) 1 minute, Lower","Bollinger Bands (20) 5 minutes, Upper","Bollinger Bands (20) 5 minutes, Basis","Bollinger Bands (20) 5 minutes, Lower",International Securities Identification Number,Relative Volume 1 day,Recent earnings date,Upcoming earnings date,Analyst Rating,Target price 1 year,Target price 1 year - Currency,Technical Rating 5 minutes
NVDA,NVIDIA Corporation,Semiconductors,Electronic technology,NASDAQ,"S&P 500, NASDAQ 100, NASDAQ Composite, PHLX Semiconductor Sector, S&P 500 Information Technology, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, NASDAQ-100 Technology Sector, Russell 1000, NASDAQ Computer, S&P 500 ESG, NASDAQ CB Insights Metaverse US Index",3571813314972,USD,145.61,USD,145.14,USD,0.6099999999999852,USD,0.4189272714785971,-0.3227800288441915,23554294720,242042316,590109491,3958864,195535079.9000017,240886206.2000007,299180292.14444333,4.6351084812623355,2.8208302049485967,2.9126002798429234,144.6866666666667,68.36471195830791,1.1859610148182307,1.2106725308540507,3.2953935,2.4068208,1.6567003,3.0358831317219654,2.701166729475638,2.3743765393178307,1.5010563024522845,0.7296730317536088,0.4353964235163631,0.6296587354594491,0.4221545181315415,0.09215346454897175,146.49,USD,146.49,USD,146.49,USD,146.49,USD,146.49,USD,145.8,USD,146.22,USD,146.34,USD,146.34,USD,146.34,USD,146.49,USD,146.49,USD,146.49,USD,146.49,USD,2058175.6756756802,USD,145.55808000000027,145.57381250000003,145.8285800000002,146.085246153846,146.3395885483013,145.835425,145.33126145169868,146.64265061450368,146.10755999999978,145.57246938549588,US67066G1040,1.2106725308540507,2024-08-28,2024-11-20,Strong buy,150.958699,USD,Neutral
AAPL,Apple Inc.,Telecommunications equipment,Electronic technology,NASDAQ,"S&P 500, NASDAQ 100, Dow Jones Industrial Average, NASDAQ Composite, S&P 500 Information Technology, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, Dow Jones Composite Average, NASDAQ-100 Technology Sector, Russell 1000, NASDAQ Computer, S&P 500 ESG, NASDAQ CB Insights Metaverse US Index",3366596170952.0005,USD,222.72,USD,223.14,USD,1.5699999999999932,USD,0.7049209770114911,0.18857758620689094,15102226011.6,54561020,127616927,213048,44574798.79999931,41639427.766667195,50795289.666666456,2.203987522039875,1.8323504164255162,1.5293686014634895,223.325,36.692532002174666,1.2910897092467257,1.2303094774584549,1.0607839,1.2134502,1.2394236,5.289129918319281,5.552114284551912,4.61824642573655,2.58357856619982,1.1778885446689964,0.7336689639258086,0.6916837915749222,0.5234512794224122,0.1539673568364279,237.49,USD,237.49,USD,237.49,USD,237.49,USD,237.49,USD,223.24,USD,223.69,USD,223.88,USD,223.88,USD,223.88,USD,224.33,USD,226.065,USD,226.065,USD,226.065,USD,2384359.75609756,USD,222.66009999999983,222.8875624999998,223.3294600000001,223.6236846153836,224.04659021358947,223.28077999999945,222.51496978640944,224.31188395406357,223.65589499999928,222.99990604593498,US0378331005,1.2303094774584549,2024-10-31,2025-01-30,Buy,243.844048,USD,Strong sell
MSFT,Microsoft Corporation,Packaged software,Technology services,NASDAQ,"S&P 500, NASDAQ 100, Dow Jones Industrial Average, NASDAQ Composite, S&P 500 Information Technology, S&P 100, ISE CTA Cloud Computing, Nasdaq US Large Cap Growth, Russell 3000, Dow Jones Composite Average, NASDAQ-100 Technology Sector, Russell 1000, NASDAQ Computer, S&P 500 ESG, NYSE Arca Major Market, NASDAQ CB Insights Metaverse US Index",3123988185037,USD,420.18,USD,420.06,USD,1.6200000000000045,USD,0.3855490504069695,-0.02855918891903578,7326107705.6,26681774,63980139,71667,23493786.2,19174000.3,19784982.955555554,2.418883367436424,1.9348766697925424,1.6116733972253106,417.05,34.68004853126883,1.2334608171608823,1.1707129712476083,1.2566838,0.96760285,0.9033913,4.189968896874996,6.874343962311098,5.0515055563889355,2.784961983034599,1.1592570084762166,0.7115911830653107,0.5147277599893326,0.6917911130092207,0.20483029810233777,438.5,USD,441.85,USD,468.35,USD,468.35,USD,468.35,USD,420.45,USD,420.45,USD,420.45,USD,420.45,USD,420.45,USD,420.45,USD,420.45,USD,420.45,USD,420.45,USD,1075096.49122807,USD,420.0840000000003,419.78374999999977,419.7740000000005,419.6954769230758,420.42525299261484,419.7717650000003,419.11827700738576,420.33119679939,419.4687049999996,418.6062132006092,US5949181045,1.1707129712476083,2024-10-30,2025-01-29,Strong buy,500.597826,USD,Strong buy
AMZN,"Amazon.com, Inc.",Internet retail,Retail trade,NASDAQ,"S&P 500, NASDAQ 100, Dow Jones Industrial Average, NASDAQ Composite, S&P 500 Consumer Discretionary, S&P 100, ISE CTA Cloud Computing, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000, NASDAQ Industrials, NASDAQ CB Insights Metaverse US Index",2177553536092.0002,USD,207.09,USD,206,USD,0.6599999999999966,USD,0.31870201361726624,-0.5263412043073077,9374795460,72292121,141349013,339232,46851616.69999999,36303877.300000116,39313042.84444441,4.2231595862207625,2.4793845408006083,1.9412495188010808,204.59333333333333,44.381817792160476,1.8638904759687727,1.6884325804115785,1.459479,1.3857315,1.1453713,2.82796436775357,11.88984320262859,7.563299787473161,2.685116213927487,1.2098456938459268,0.8227851541080112,0.6018580964811907,0.8077230121065571,0.27825823811763745,207.55,USD,207.55,USD,207.55,USD,207.55,USD,207.55,USD,207.55,USD,207.55,USD,207.55,USD,207.55,USD,207.55,USD,207.55,USD,207.55,USD,207.55,USD,207.55,USD,376908.19672131096,USD,207.09000000000015,206.4718750000001,205.89899999999983,205.52717692307715,207.34755953476807,205.8779950000002,204.40843046523233,206.3776774381643,205.34555999999967,204.31344256183502,US0231351067,1.6884325804115785,2024-10-31,2025-01-30,Strong buy,233.564407,USD,Strong buy
GOOG,Alphabet Inc.,Internet software/Services,Technology services,NASDAQ,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Communication Services, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, NASDAQ-100 Technology Sector, Russell 1000, NASDAQ Computer, S&P 500 ESG",2170730763290.0002,USD,178.33,USD,178.29,USD,1.3099999999999739,USD,0.7345931699657791,-0.022430325800493728,5142142994,27061510,55773786,127161,23713077.399999946,16840658.100000046,17564737.044444464,4.130484460694693,1.9928196441896984,1.967358357863463,177.33666666666667,23.655899714797375,1.0440409432783155,1.2144816095221775,1.0821887,0.97345054,1.0391253,4.8435021747112685,7.89574755525923,6.368114208453594,3.680472885831632,1.4721560329907863,0.9594444628078324,0.6856891146703308,0.6416618835498783,0.18645147078037808,183.79,USD,183.79,USD,193.31,USD,193.31,USD,193.31,USD,178.45,USD,178.64,USD,178.64,USD,178.64,USD,178.64,USD,178.64,USD,178.64,USD,178.64,USD,178.64,USD,1683033.6105905701,USD,178.2870000000001,178.1862499999999,178.21399999999974,178.17824546153878,178.61949645559062,178.2396849999998,177.859873544409,178.44132414939708,178.09234954999982,177.74337495060257,US02079K1079,1.2144816095221775,2024-10-29,2025-02-04,Strong buy,209.527273,USD,Buy
GOOGL,Alphabet Inc.,Internet software/Services,Technology services,NASDAQ,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Communication Services, S&P 100, ISE CTA Cloud Computing, Nasdaq US Large Cap Growth, Russell 3000, NASDAQ-100 Technology Sector, Russell 1000, NASDAQ Computer, S&P 500 ESG, NASDAQ CB Insights Metaverse US Index",2170730763290,USD,176.51,USD,176.88,USD,1.3400000000000034,USD,0.7591637867542935,0.20961985156648608,5828801510,33695325,73430332,117286,33543398.900000013,24549418.133333348,25201625.199999996,4.149855907780974,2.0084922158603793,1.982805938699758,175.65,23.414472375140942,0.9611080902541519,1.0529157905290811,1.0998001,0.9798916,1.0334566,3.6660111609060517,5.356450517631932,4.62537218344003,3.001670778555945,1.1569954586020295,0.7335505244606706,0.5901362256157775,0.602837003625348,0.18318131957969264,182.02,USD,182.02,USD,191.75,USD,191.75,USD,191.75,USD,176.65,USD,176.94,USD,176.94,USD,176.94,USD,176.94,USD,176.94,USD,176.94,USD,176.94,USD,176.94,USD,1683033.6105905701,USD,176.49799999999945,176.45251250000013,176.49100000000024,176.44853846153876,176.87447920968717,176.51690999999997,176.15934079031277,176.68560818061974,176.37580499999964,176.06600181937955,US02079K3059,1.0529157905290811,2024-10-29,2025-02-04,Strong buy,209.642857,USD,Buy
META,"Meta Platforms, Inc.",Internet software/Services,Technology services,NASDAQ,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Communication Services, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, NASDAQ-100 Technology Sector, Russell 1000, NASDAQ Computer, NASDAQ CB Insights Metaverse US Index",1443854588171,USD,572.05,USD,571.61,USD,4.75,USD,0.8303469976400665,-0.07691635346559583,2176270020,18305420,40145409,70397,15161837.9,11932099.9,13387577.844444444,3.212019282815157,2.6201313937575996,2.050119558867566,566.7393,26.93965009771833,1.3366411802975389,1.2405292121899267,0.9469198,1.2256488,1.2149562,4.243999523494592,5.5008965321600805,3.6663536897577154,2.075599856594022,0.9197784124359057,0.5861548923396308,0.5767336120445679,0.70416678667228,0.17333481803680134,601.2,USD,602.95,USD,602.95,USD,602.95,USD,602.95,USD,572.2,USD,572.2,USD,572.2,USD,572.2,USD,572.2,USD,572.2,USD,573,USD,573.48,USD,573.67,USD,2003981.1637476399,USD,571.8090000000018,570.9543750000001,570.3710199999999,569.0998307692306,572.2345305022843,570.5009199999977,568.767309497711,571.3249538158266,568.4602650000003,565.595576184174,US30303M1027,1.2405292121899267,2024-10-30,2025-01-29,Strong buy,650.656552,USD,Strong buy
BRK.A,Berkshire Hathaway Inc.,Property/Casualty insurance,Finance,NYSE,,1010948387392,USD,703000,USD,704000,USD,1000,USD,0.1422475106685633,0.1422475106685633,553090.802755553,2877,7520,1,1811.1,1557.7,1733.0555555555557,5.358718719659052,1.749320173043672,1.2929326261494969,697311.6954,9.466595123446327,1.7694254150465967,1.7652472696036323,0.3379545,0.8633737,0.8711903,1.8571428571428572,2.196261682242991,1.6097560975609757,0.998003992015968,0.46026388462718626,0.27467496795458707,0.6663890045814245,0.9325165546489422,0.055417477490194496,703418.885,USD,727115,USD,741971.39,USD,741971.39,USD,741971.39,USD,703305,USD,703418.885,USD,703418.885,USD,703418.885,USD,703418.885,USD,703418.885,USD,703418.885,USD,703418.885,USD,703418.885,USD,919248.42370744,USD,702429.3420000018,702655.6862500018,702411.1149999965,701683.1503846159,703645.2383589305,702286.7632500005,700928.2881410706,703372.2743957803,701089.7490000019,698807.2236042236,US0846701086,1.7652472696036323,2024-11-02,2025-02-24,Buy,762743.628186,USD,Buy
TSLA,"Tesla, Inc.",Motor vehicles,Consumer durables,NASDAQ,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Consumer Discretionary, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000, NASDAQ Industrials, S&P 500 ESG, NASDAQ Clean Edge Green Energy",926198554345.9999,USD,288.53,USD,285,USD,0.7300000000000182,USD,0.2530066197622494,-1.223442969535221,2793365321.46,165225470,303313569,1507556,103567443.30000025,83026361.46666662,92361732.6000001,13.841520934620121,4.02956634095066,3.5725276772330714,284.58,79.04065307911462,1.5965300667114766,1.7366783602676907,1.8582221,1.6454039,2.2935221,2.93819777137673,3.1185198465793498,1.8323248883778906,1.1588544204294389,0.5281932395334684,0.3641424309140134,0.893421008496142,0.7793534121357579,0.1812588053697511,289.59,USD,289.59,USD,289.59,USD,289.59,USD,414.49625277,USD,289.27,USD,289.4187,USD,289.4187,USD,289.4187,USD,289.4187,USD,289.43,USD,289.59,USD,289.59,USD,289.59,USD,688908.188762253,USD,288.20600000000053,288.48720000000037,288.8779999999999,288.7727307692312,289.51350234397796,288.748619999999,287.98373765602,289.51417985235935,288.48770795000104,287.4612360476427,US88160R1014,1.7366783602676907,2024-10-23,2025-01-22,Neutral,235.39,USD,Neutral
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,Semiconductors,Electronic technology,NYSE,PHLX Semiconductor Sector,848905985146.875,USD,193.22,USD,195,USD,3.740000000000009,USD,1.935617430907778,0.9212296863678714,5185200476.603399,19833917,41091372,202333,13413705.3,15243516.966666665,16102812.10000001,3.8514588859416397,2.6449402644302173,2.6010408423313502,191.99333333333334,30.93598898459765,1.4422037076328498,1.5159044099421335,2.2586422,1.3968732,1.1279976,5.540877270653212,6.859669745087498,4.1447623272953615,2.2692244796236127,0.9398511322299264,0.6236709763981333,0.7403027761520914,0.6081870183119664,0.16393849453960255,212.6,USD,212.6,USD,212.6,USD,212.6,USD,212.6,USD,193.73,USD,194.13,USD,194.26,USD,194.26,USD,194.26,USD,194.26,USD,194.26,USD,198.34,USD,198.34,USD,906799.671644317,USD,193.36,193.36124999999998,193.73900000000032,193.6292307692309,194.3305191763988,193.68221499999981,193.03391082360082,194.16828042127477,193.46975000000032,192.77121957872586,US8740391003,1.5159044099421335,2024-10-17,2025-01-16,Strong buy,233.826667,USD,Sell
