Symbol,Description,Industry,Sector,Exchange,Index,Market capitalization,Market capitalization - Currency,Price,Price - Currency,Pre-market Open,Pre-market Open - Currency,Pre-market Change,Pre-market Change - Currency,Pre-market Change %,Pre-market Gap %,Float shares outstanding,Volume 1 day,Volume 1 week,Pre-market Volume,Average Volume 10 days,Average Volume 30 days,Average Volume 90 days,Volatility 1 day,Volatility 1 week,Volatility 1 month,Volume Weighted Average Price 1 day,Price to earnings ratio,Relative Volume at Time,Relative Volume 1 day,Beta 1 year,Beta 3 years,Beta 5 years,Relative Volume 1 minute,Relative Volume 5 minutes,Relative Volume 15 minutes,Relative Volume 30 minutes,Relative Volume 1 hour,Relative Volume 2 hours,Relative Volume 4 hours,Relative Volume 1 week,Relative Volume 1 month,High 1 month,High 1 month - Currency,High 3 months,High 3 months - Currency,High 6 months,High 6 months - Currency,High 52 weeks,High 52 weeks - Currency,High All Time,High All Time - Currency,High 5 minutes,High 5 minutes - Currency,High 15 minutes,High 15 minutes - Currency,High 30 minutes,High 30 minutes - Currency,High 1 hour,High 1 hour - Currency,High 2 hours,High 2 hours - Currency,High 4 hours,High 4 hours - Currency,High 1 day,High 1 day - Currency,High 1 week,High 1 week - Currency,High 1 month,High 1 month - Currency,"Revenue per employee, Annual","Revenue per employee, Annual - Currency",Simple Moving Average (5) 1 minute,Simple Moving Average (8) 1 minute,Simple Moving Average (5) 5 minutes,Simple Moving Average (13) 5 minutes,"Bollinger Bands (20) 1 minute, Upper","Bollinger Bands (20) 1 minute, Basis","Bollinger Bands (20) 1 minute, Lower","Bollinger Bands (20) 5 minutes, Upper","Bollinger Bands (20) 5 minutes, Basis","Bollinger Bands (20) 5 minutes, Lower",International Securities Identification Number,Relative Volume 1 day,Recent earnings date,Upcoming earnings date,Analyst Rating,Target price 1 year,Target price 1 year - Currency,Technical Rating 5 minutes
AMZN,"Amazon.com, Inc.",Internet retail,Retail trade,NASDAQ,"S&P 500, NASDAQ 100, Dow Jones Industrial Average, NASDAQ Composite, S&P 500 Consumer Discretionary, S&P 100, ISE CTA Cloud Computing, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000, NASDAQ Industrials, NASDAQ CB Insights Metaverse US Index",2133285430717.9998,USD,202.88,USD,202.66,USD,0.12000000000000455,USD,0.05914826498422938,-0.10843848580441584,9392513235,32768452,100479321,18506,43924791.29999998,39608014.46666679,40112457.09999997,2.587114565053911,2.6458682008852623,2.250889187181345,201.82000000000002,43.47956537579563,0.6662523828236518,0.6844276077278333,1.4226841,1.3857315,1.1453713,4.695440403763677,6.019990341352342,5.049516461118314,2.9449412599826936,1.1461831572029848,0.6225698216666358,0.39477360638880954,0.5208226426632077,0.7853460104891227,215.9,USD,215.9,USD,215.9,USD,215.9,USD,215.9,USD,202.91,USD,202.91,USD,202.91,USD,202.91,USD,202.91,USD,202.91,USD,203.13,USD,205.3,USD,215.9,USD,376908.19672131096,USD,202.77740000000009,202.69649999999905,202.46900000000068,201.89977592307653,202.93974091556504,202.43568000000013,201.93161908443523,202.78135580195405,201.67317435000047,200.56499289804688,US0231351067,0.6844276077278333,2024-10-31,2025-01-30,Strong buy,235.462712,USD,Strong buy
META,"Meta Platforms, Inc.",Internet software/Services,Technology services,NASDAQ,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Communication Services, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, NASDAQ-100 Technology Sector, Russell 1000, NASDAQ Computer, NASDAQ CB Insights Metaverse US Index",1427372943496,USD,565.52,USD,566,USD,1.4300000000000637,USD,0.2528646201725958,0.08487763474324837,2176049840,9797339,33666499,3462,12375666.9,12271588.833333334,13289401.877777778,2.1923128487346046,2.223119810808094,2.3742101437244676,562.0233333333334,26.632131672514067,0.6761532491035106,0.7407369184409884,0.99452716,1.2256488,1.2149562,3.9330216723612637,6.427325357814587,6.9507552046072405,3.21072506359514,1.3010944588262014,0.6589099628178244,0.4584071465301098,0.5485640528729763,0.5602040571761552,601.2,USD,602.95,USD,602.95,USD,602.95,USD,602.95,USD,566.3,USD,566.3,USD,566.3,USD,566.3,USD,566.3,USD,566.3,USD,566.3499,USD,566.3499,USD,599.66,USD,2003981.1637476399,USD,565.7160000000019,565.501875000001,564.7000000000003,563.2638461538464,566.2015574546667,564.7987499999983,563.39594254533,565.5680289427381,562.4982499999988,559.4284710572596,US30303M1027,0.7407369184409884,2024-10-30,2025-01-29,Buy,653.484138,USD,Buy
XOM,Exxon Mobil Corporation,Integrated oil,Energy minerals,NYSE,"S&P 500, S&P 500 Energy, S&P 100, Russell 3000, Russell 1000, S&P 500 ESG, NYSE Arca Major Market",528817796159,USD,120.32,USD,120.42,USD,0.20000000000000284,USD,0.1662234042553215,0.08311170212766666,4388673168.6,11360932,37189015,677,13337330,12829376.066666666,13934638.08888889,1.5509103169251546,1.4090004967378502,1.676520793848646,119.81,14.98605021921084,0.7655881122582185,0.7954717898185288,0.12162284,0.47087356,0.88016033,2.9316776040338763,6.778047615331763,8.57577106778538,6.169138934451029,2.3156606425081443,1.2006829841376832,0.7932325442274692,0.5112267283934785,0.5790131722882377,122.05,USD,126.34,USD,126.34,USD,126.34,USD,126.34,USD,120.47,USD,120.47,USD,120.47,USD,120.47,USD,120.47,USD,120.47,USD,120.47,USD,120.62,USD,122.05,USD,5382435.48387097,USD,120.3519999999999,120.37437499999987,120.26846000000008,119.95664615384588,120.52037806266692,120.27121000000007,120.02204193733321,120.3970346712945,119.83207000000057,119.26710532870663,US30231G1022,0.7954717898185288,2024-11-01,2025-01-31,Buy,130.833333,USD,Buy
PG,Procter & Gamble Company (The),Household/Personal care,Consumer non-durables,NYSE,"S&P 500, Dow Jones Industrial Average, S&P 500 Consumer Staples, S&P 100, Russell 3000, Dow Jones Composite Average, Russell 1000, S&P 500 ESG, NYSE Arca Major Market",402453082885.99994,USD,170.89,USD,171.4,USD,0.8100000000000023,USD,0.4739891158054903,0.29843759143309695,2353584585.2799997,7081237,19445997,4083,7167776.9,6611362.3,6931928.511111111,0.9229866405445656,1.2989664294288397,1.2874783403286791,170.48849566666664,29.473956536736804,0.9172832586199003,0.9308816248986791,0.02766786,0.3615033,0.41391188,5.933534616513607,5.955579526454883,4.2233108962188615,3.10194761259058,1.4602252211209763,0.7796544158513548,0.8049766567061863,0.5578699876821909,0.699168802996311,171.45,USD,177.94,USD,177.94,USD,177.94,USD,177.94,USD,170.92,USD,171.07,USD,171.07,USD,171.07,USD,171.07,USD,171.07,USD,171.07,USD,171.45,USD,171.45,USD,778138.888888889,USD,170.8629999999997,170.86812499999886,170.88000000000028,170.7880769230772,170.99869316898526,170.8557500000005,170.71280683101577,171.02318785856443,170.76712500000042,170.5110621414364,US7427181091,0.9308816248986791,2024-10-18,2025-01-22,Buy,180,USD,Buy
NFLX,"Netflix, Inc.",Internet software/Services,Technology services,NASDAQ,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Communication Services, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000, NASDAQ Industrials, NASDAQ CB Insights Metaverse US Index",377808857661,USD,883.85,USD,886.39,USD,2.519999999999982,USD,0.2851162527578188,0.2873790801606566,424660714.848,4093833,11992151,392,3189054.200000012,3681054.666666719,3323703.388888902,2.5564256103178313,2.9655040375700974,2.0759775317977818,880.9499999999999,50.01414667270258,1.48513716101724,1.300144380984389,1.2339258,2.011553,1.2491381,2.0694683086780623,3.538144606910141,5.3310364472417024,3.477615851835261,1.129660367961585,0.6781168575932311,0.6138154638560067,0.7523810738564967,0.5460045133449124,890.6,USD,890.6,USD,890.6,USD,890.6,USD,890.6,USD,885.07,USD,885.3,USD,885.3,USD,885.3,USD,885.3,USD,885.3,USD,890.6,USD,890.6,USD,890.6,USD,2594099.76923077,USD,884.3130000000012,884.2750000000001,883.74202,880.5504000000012,884.9657240749044,884.0491249999981,883.1325259250917,885.7226932631754,879.022134999998,872.3215767368206,US64110L1061,1.300144380984389,2024-10-17,2025-01-16,Buy,802.428571,USD,Buy
CVX,Chevron Corporation,Integrated oil,Energy minerals,NYSE,"S&P 500, Dow Jones Industrial Average, S&P 500 Energy, S&P 100, Russell 3000, Dow Jones Composite Average, Russell 1000, S&P 500 ESG, NYSE Arca Major Market",289924763800,USD,161.33,USD,161.08,USD,0.2599999999999909,USD,0.16116035455277436,-0.15496187937767308,1796559858.45,6391252,17140802,1576,7273701,6711145.266666667,7266401.944444444,1.1515834272124192,1.197830913049637,1.442073427951691,160.85000000000002,17.756474459865505,0.5588811621960248,0.8145388651753135,0.37268257,0.72371274,1.0775589,7.478014076082114,9.928474431236863,7.213499607119289,4.63048558105163,1.7750219018691344,0.9316292515642998,0.5247082266942578,0.4653165928400693,0.67388149119748,162.38,USD,162.38,USD,164.28,USD,167.11,USD,189.68,USD,161.44,USD,161.44,USD,161.44,USD,161.44,USD,161.44,USD,161.44,USD,161.44,USD,161.52,USD,162.38,USD,4324934.21052632,USD,161.25999999999917,161.3000000000003,161.1919999999998,160.99500000000074,161.4366194119689,161.17799999999983,160.91938058803075,161.30399032476691,160.92630999999997,160.54862967523303,US1667641005,0.8145388651753135,2024-11-01,2025-01-31,Buy,170.318182,USD,Buy
KO,Coca-Cola Company (The),Beverages: non-alcoholic,Consumer non-durables,NYSE,"S&P 500, Dow Jones Industrial Average, S&P 500 Consumer Staples, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, Dow Jones Composite Average, Russell 1000, S&P 500 ESG, NYSE Arca Major Market",271348132387,USD,62.99,USD,63.14,USD,0.21999999999999886,USD,0.34926178758532916,0.23813303698999613,4274509321.5999994,18904745,51239105,12949,16518890.3,14398346.333333334,14201898.211111112,1.5962592712028294,1.4507765840221947,1.4809935894323287,62.67333333333333,26.160810698563004,0.8986295020070251,1.1174112030752705,0.102192655,0.401235,0.61974055,3.0829066351524785,6.750660721998931,5.261366631880374,3.6702637688391495,1.5398020518885185,0.9096941933862658,0.7585493410946968,0.7358270827160616,0.7862620551375895,69.745,USD,73.53,USD,73.53,USD,73.53,USD,73.53,USD,63.01,USD,63.01,USD,63.01,USD,63.01,USD,63.01,USD,63.01,USD,63.01,USD,63.01,USD,65.66,USD,579405.815423515,USD,62.98100000000003,62.98249999999991,62.938999999999965,62.84384615384608,63.02257222040499,62.94432500000005,62.86607777959511,63.00382515759539,62.85357000000005,62.70331484240471,US1912161007,1.1174112030752705,2024-10-23,2025-02-18,Buy,75.1,USD,Buy
PEP,"PepsiCo, Inc.",Food: specialty/candy,Consumer non-durables,NASDAQ,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Consumer Staples, S&P 100, Russell 3000, Russell 1000, NASDAQ Industrials, S&P 500 ESG",217789543567,USD,158.74,USD,158.8,USD,0.060000000000002274,USD,0.03779765654529563,0.03779765654529563,1367373253.6499999,5067255,20308159,100,5808572.4,5274239.466666667,5432051.233333333,1.8629961587708228,2.0707421817190346,1.4230778256140153,158.01666666666668,23.39745007001253,0.8736232828014434,0.8325020505923512,0.04516273,0.37102756,0.5420615,3.575141958256599,4.284495953023691,4.059545492895535,4.018503801226589,1.5336033403199425,0.8275510676733522,0.7163031394536963,0.7466956448589479,0.7011453869199384,174.95,USD,179.73,USD,180.91,USD,183.41,USD,196.88,USD,158.91,USD,159.11,USD,159.11,USD,159.11,USD,159.11,USD,159.11,USD,159.11,USD,159.85,USD,167.96,USD,287635.220125786,USD,158.62199999999976,158.7312500000001,158.88400000000024,158.64692307692238,159.1191628470027,158.83941000000004,158.55965715299737,158.9992416791815,158.62802000000013,158.25679832081877,US7134481081,0.8325020505923512,2024-10-08,2025-02-06,Neutral,182.111111,USD,Buy
BABA,Alibaba Group Holding Limited,Internet retail,Retail trade,NYSE,"NASDAQ Golden Dragon China, NASDAQ CB Insights Metaverse US Index",208363032130.13913,USD,86.77,USD,86.71,USD,0.21999999999999886,USD,0.2535438515615983,-0.06914832315316616,2390630541.61841,15174535,47977395,62686,18423462.3,16500310.266666668,18033910.255555555,1.2023121387283309,2.0133741661699456,2.048677476385832,86.93666666666668,17.815053586827087,0.6650937097085188,0.8105061415307586,0.85175985,0.38410753,0.34846646,3.127842262986567,3.8221336370539105,3.6638420567668017,2.7140187942259257,0.8841815877733548,0.5140408497975459,0.44826777303439813,0.4425503370528948,0.6150126059392688,101.89,USD,117.82,USD,117.82,USD,117.82,USD,319.32,USD,86.77,USD,86.78,USD,86.78,USD,86.78,USD,86.78,USD,86.84,USD,87.54,USD,89.5,USD,101.1,USD,640550.8947263911,USD,86.73539999999977,86.73590000000013,86.74801999999988,86.65926153846195,86.76910045530906,86.73604,86.70297954469095,86.79082416847359,86.66257999999948,86.53433583152537,US01609W1027,0.8105061415307586,2024-11-15,2025-01-29,Strong buy,119.74344045111,USD,Neutral
IBM,International Business Machines Corporation,Packaged software,Technology services,NYSE,"S&P 500, Dow Jones Industrial Average, S&P 500 Information Technology, S&P 100, ISE CTA Cloud Computing, Russell 3000, Dow Jones Composite Average, Russell 1000, NYSE Arca Major Market",198428853031,USD,214.6,USD,214.8,USD,0.20000000000001705,USD,0.0931966449207908,0.0931966449207908,923768436.5400001,4562870,10829692,119,3714485.3,4301745.033333333,3921356.6333333333,2.4729170887509087,2.028087078394655,1.7386765399997117,213.11083333333332,31.234080952450256,1.4848365135158312,1.2495409935199198,0.6026418,0.6384636,0.70410913,9.30340784939911,12.454828625749144,7.932552745623348,5.130299019452015,2.803217338096836,1.6579004508406274,1.2929133155330101,0.5057298439304136,0.54818684543671,233.34,USD,237.37,USD,237.37,USD,237.37,USD,237.37,USD,214.96,USD,214.96,USD,214.96,USD,214.96,USD,214.96,USD,214.96,USD,214.96,USD,214.96,USD,216.7,USD,202620.37340321002,USD,214.46402000000006,214.43846250000004,214.37099999999978,213.7217307692305,214.7201636677722,214.37238499999972,214.02460633222725,214.58793544127835,213.5631350000001,212.53833455872186,US4592001014,1.2495409935199198,2024-10-23,2025-01-28,Neutral,228.588235,USD,Buy
